      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  5.500E+00  1.126E-03  3.750E-02 -9.288E-04  2.640E-02  1.068E-09  4.265E-04 -6.466E-02 -1.069E-03 -4.695E-10 -4.586E-02
    1.000E-02  5.500E+00  1.948E-03  4.959E-02 -1.461E-03  3.490E-02  2.397E-09  6.115E-04 -8.548E-02 -1.677E-03 -9.345E-10 -6.064E-02
    2.000E-02  5.500E+00  3.068E-03  6.209E-02 -2.185E-03  4.367E-02  5.075E-09  8.732E-04 -1.069E-01 -2.520E-03 -1.863E-09 -7.591E-02
    5.000E-02  5.500E+00  5.175E-03  7.310E-02 -3.553E-03  5.132E-02  1.311E-08  1.368E-03 -1.257E-01 -4.091E-03 -4.632E-09 -8.932E-02
    1.000E-01  5.500E+00  7.397E-03  7.268E-02 -4.998E-03  5.087E-02  2.623E-08  1.897E-03 -1.246E-01 -5.761E-03 -9.217E-09 -8.871E-02
    2.000E-01  5.500E+00  1.024E-02  6.481E-02 -6.844E-03  4.511E-02  5.119E-08  2.577E-03 -1.104E-01 -7.915E-03 -1.896E-08 -7.895E-02
    3.000E-01  5.500E+00  1.217E-02  5.824E-02 -8.081E-03  4.032E-02  7.447E-08  3.036E-03 -9.870E-02 -9.383E-03 -3.079E-08 -7.082E-02
    4.000E-01  5.500E+00  1.361E-02  5.329E-02 -8.995E-03  3.671E-02  9.709E-08  3.377E-03 -8.985E-02 -1.049E-02 -4.618E-08 -6.470E-02
    5.000E-01  5.500E+00  1.474E-02  4.949E-02 -9.703E-03  3.393E-02  1.198E-07  3.642E-03 -8.302E-02 -1.136E-02 -6.646E-08 -5.998E-02
    7.500E-01  5.500E+00  1.672E-02  4.294E-02 -1.091E-02  2.910E-02  1.783E-07  4.101E-03 -7.117E-02 -1.292E-02 -1.491E-07 -5.183E-02
    1.000E+00  5.500E+00  1.798E-02  3.874E-02 -1.164E-02  2.597E-02  2.452E-07  4.385E-03 -6.348E-02 -1.396E-02 -2.943E-07 -4.657E-02
    2.000E+00  5.500E+00  2.012E-02  3.061E-02 -1.263E-02  1.966E-02  7.192E-07  4.825E-03 -4.794E-02 -1.600E-02 -1.937E-06 -3.618E-02
    3.000E+00  5.500E+00  2.067E-02  2.737E-02 -1.257E-02  1.679E-02  1.747E-06  4.898E-03 -4.076E-02 -1.699E-02 -6.258E-06 -3.174E-02
    5.000E+00  5.500E+00  2.092E-02  2.532E-02 -1.188E-02  1.392E-02  6.267E-06  4.876E-03 -3.327E-02 -1.871E-02 -2.756E-05 -2.807E-02
    7.000E+00  5.500E+00  2.126E-02  2.567E-02 -1.117E-02  1.241E-02  1.455E-05  4.892E-03 -2.892E-02 -2.099E-02 -7.182E-05 -2.709E-02
    1.000E+01  5.500E+00  2.248E-02  2.842E-02 -1.028E-02  1.109E-02  3.284E-05  5.045E-03 -2.436E-02 -2.585E-02 -1.913E-04 -2.788E-02
    1.500E+01  5.500E+00  2.676E-02  3.683E-02 -9.071E-03  9.956E-03  6.423E-05  5.491E-03 -1.860E-02 -3.815E-02 -5.418E-04 -3.280E-02
    2.000E+01  5.500E+00  3.423E-02  4.959E-02 -7.783E-03  9.528E-03  5.941E-05  5.938E-03 -1.361E-02 -5.653E-02 -1.054E-03 -4.161E-02
    2.500E+01  5.500E+00  4.557E-02  6.741E-02 -6.117E-03  9.716E-03 -3.285E-05  6.218E-03 -8.972E-03 -8.247E-02 -1.657E-03 -5.490E-02
    3.000E+01  5.500E+00  6.173E-02  9.168E-02 -3.905E-03  1.056E-02 -2.594E-04  6.252E-03 -4.571E-03 -1.181E-01 -2.259E-03 -7.391E-02
    3.500E+01  5.500E+00  8.361E-02  1.238E-01 -1.091E-03  1.211E-02 -6.487E-04  5.986E-03 -4.425E-04 -1.655E-01 -2.766E-03 -9.983E-02
    4.000E+01  5.500E+00  1.111E-01  1.639E-01  2.223E-03  1.426E-02 -1.192E-03  5.372E-03  3.296E-03 -2.247E-01 -3.096E-03 -1.328E-01
    4.500E+01  5.500E+00  1.415E-01  2.081E-01  5.686E-03  1.660E-02 -1.818E-03  4.373E-03  6.452E-03 -2.902E-01 -3.192E-03 -1.693E-01
    5.000E+01  5.500E+00  1.672E-01  2.458E-01  8.655E-03  1.837E-02 -2.389E-03  3.008E-03  8.783E-03 -3.462E-01 -3.036E-03 -2.004E-01
    5.500E+01  5.500E+00  1.783E-01  2.627E-01  1.041E-02  1.870E-02 -2.750E-03  1.419E-03  1.010E-02 -3.718E-01 -2.670E-03 -2.140E-01
    6.000E+01  5.500E+00  1.702E-01  2.521E-01  1.066E-02  1.730E-02 -2.824E-03 -1.297E-04  1.042E-02 -3.569E-01 -2.186E-03 -2.043E-01
    6.500E+01  5.500E+00  1.480E-01  2.210E-01  9.774E-03  1.473E-02 -2.655E-03 -1.391E-03  9.988E-03 -3.117E-01 -1.687E-03 -1.772E-01
    7.000E+01  5.500E+00  1.210E-01  1.826E-01  8.375E-03  1.185E-02 -2.354E-03 -2.259E-03  9.136E-03 -2.556E-01 -1.247E-03 -1.441E-01
    7.500E+01  5.500E+00  9.575E-02  1.463E-01  6.938E-03  9.225E-03 -2.015E-03 -2.763E-03  8.136E-03 -2.027E-01 -8.917E-04 -1.130E-01
    8.000E+01  5.500E+00  7.494E-02  1.161E-01  5.676E-03  7.055E-03 -1.695E-03 -3.008E-03  7.116E-03 -1.586E-01 -6.210E-04 -8.711E-02
    8.500E+01  5.500E+00  5.870E-02  9.234E-02  4.643E-03  5.378E-03 -1.416E-03 -3.054E-03  6.212E-03 -1.239E-01 -4.213E-04 -6.683E-02
    9.000E+01  5.500E+00  4.633E-02  7.414E-02  3.820E-03  4.104E-03 -1.181E-03 -2.981E-03  5.416E-03 -9.730E-02 -2.766E-04 -5.130E-02
    1.000E+02  5.500E+00  2.982E-02  4.970E-02  2.657E-03  2.406E-03 -8.291E-04 -2.676E-03  4.139E-03 -6.150E-02 -1.014E-04 -3.050E-02
    1.050E+02  5.500E+00  2.434E-02  4.158E-02  2.249E-03  1.852E-03 -6.995E-04 -2.491E-03  3.637E-03 -4.956E-02 -5.150E-05 -2.361E-02
    1.100E+02  5.500E+00  2.011E-02  3.529E-02  1.921E-03  1.432E-03 -5.933E-04 -2.302E-03  3.208E-03 -4.028E-02 -1.775E-05 -1.829E-02
    1.150E+02  5.500E+00  1.679E-02  3.037E-02  1.655E-03  1.111E-03 -5.059E-04 -2.116E-03  2.841E-03 -3.300E-02  4.358E-06 -1.414E-02
    1.200E+02  5.500E+00  1.416E-02  2.649E-02  1.438E-03  8.690E-04 -4.335E-04 -1.937E-03  2.524E-03 -2.723E-02  1.813E-05 -1.087E-02
    1.250E+02  5.500E+00  1.205E-02  2.340E-02  1.258E-03  6.828E-04 -3.734E-04 -1.768E-03  2.253E-03 -2.262E-02  2.595E-05 -8.275E-03
    1.300E+02  5.500E+00  1.035E-02  2.093E-02  1.108E-03  5.415E-04 -3.231E-04 -1.610E-03  2.017E-03 -1.890E-02  2.953E-05 -6.195E-03
    1.350E+02  5.500E+00  8.960E-03  1.894E-02  9.821E-04  4.351E-04 -2.808E-04 -1.462E-03  1.812E-03 -1.588E-02  3.010E-05 -4.514E-03
    1.400E+02  5.500E+00  7.814E-03  1.732E-02  8.752E-04  3.559E-04 -2.452E-04 -1.324E-03  1.633E-03 -1.340E-02  2.859E-05 -3.142E-03
    1.450E+02  5.500E+00  6.863E-03  1.600E-02  7.840E-04  2.982E-04 -2.150E-04 -1.196E-03  1.475E-03 -1.136E-02  2.567E-05 -2.012E-03
    1.500E+02  5.500E+00  6.065E-03  1.493E-02  7.055E-04  2.574E-04 -1.892E-04 -1.077E-03  1.335E-03 -9.657E-03  2.185E-05 -1.074E-03
    1.550E+02  5.500E+00  5.392E-03  1.404E-02  6.376E-04  2.302E-04 -1.672E-04 -9.660E-04  1.210E-03 -8.236E-03  1.750E-05 -2.865E-04
    1.600E+02  5.500E+00  4.820E-03  1.333E-02  5.785E-04  2.137E-04 -1.483E-04 -8.631E-04  1.098E-03 -7.042E-03  1.290E-05  3.808E-04
