      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  6.000E+00  9.067E-04  3.390E-02 -7.754E-04  2.386E-02  1.136E-09  3.751E-04 -5.845E-02 -9.064E-04 -4.147E-10 -4.146E-02
    1.000E-02  6.000E+00  1.557E-03  4.483E-02 -1.216E-03  3.155E-02  2.558E-09  5.332E-04 -7.727E-02 -1.414E-03 -8.088E-10 -5.482E-02
    2.000E-02  6.000E+00  2.446E-03  5.613E-02 -1.814E-03  3.948E-02  5.452E-09  7.540E-04 -9.669E-02 -2.104E-03 -1.596E-09 -6.862E-02
    5.000E-02  6.000E+00  4.128E-03  6.610E-02 -2.951E-03  4.641E-02  1.401E-08  1.187E-03 -1.137E-01 -3.435E-03 -3.869E-09 -8.076E-02
    1.000E-01  6.000E+00  5.899E-03  6.572E-02 -4.151E-03  4.601E-02  2.796E-08  1.645E-03 -1.127E-01 -4.836E-03 -7.531E-09 -8.023E-02
    2.000E-01  6.000E+00  8.167E-03  5.861E-02 -5.683E-03  4.081E-02  5.391E-08  2.233E-03 -9.992E-02 -6.642E-03 -1.430E-08 -7.141E-02
    3.000E-01  6.000E+00  9.700E-03  5.267E-02 -6.710E-03  3.648E-02  7.808E-08  2.629E-03 -8.931E-02 -7.871E-03 -2.037E-08 -6.406E-02
    4.000E-01  6.000E+00  1.085E-02  4.820E-02 -7.470E-03  3.322E-02  1.000E-07  2.922E-03 -8.132E-02 -8.795E-03 -2.596E-08 -5.852E-02
    5.000E-01  6.000E+00  1.174E-02  4.476E-02 -8.057E-03  3.070E-02  1.205E-07  3.150E-03 -7.514E-02 -9.524E-03 -3.092E-08 -5.425E-02
    7.500E-01  6.000E+00  1.332E-02  3.883E-02 -9.060E-03  2.633E-02  1.653E-07  3.540E-03 -6.444E-02 -1.082E-02 -4.166E-08 -4.687E-02
    1.000E+00  6.000E+00  1.432E-02  3.502E-02 -9.667E-03  2.350E-02  2.028E-07  3.779E-03 -5.749E-02 -1.168E-02 -4.991E-08 -4.211E-02
    2.000E+00  6.000E+00  1.600E-02  2.763E-02 -1.049E-02  1.778E-02  3.043E-07  4.122E-03 -4.344E-02 -1.331E-02 -6.688E-08 -3.268E-02
    3.000E+00  6.000E+00  1.641E-02  2.464E-02 -1.044E-02  1.515E-02  3.649E-07  4.139E-03 -3.694E-02 -1.405E-02 -6.835E-08 -2.860E-02
    5.000E+00  6.000E+00  1.653E-02  2.263E-02 -9.860E-03  1.249E-02  4.374E-07  4.010E-03 -3.017E-02 -1.526E-02 -4.425E-08 -2.512E-02
    7.000E+00  6.000E+00  1.671E-02  2.275E-02 -9.265E-03  1.104E-02  4.992E-07  3.892E-03 -2.624E-02 -1.687E-02 -5.463E-09 -2.402E-02
    1.000E+01  6.000E+00  1.751E-02  2.482E-02 -8.533E-03  9.679E-03  6.150E-07  3.788E-03 -2.219E-02 -2.037E-02  4.480E-08 -2.431E-02
    1.500E+01  6.000E+00  2.047E-02  3.136E-02 -7.559E-03  8.307E-03  8.567E-07  3.697E-03 -1.725E-02 -2.931E-02 -9.516E-08 -2.770E-02
    2.000E+01  6.000E+00  2.567E-02  4.115E-02 -6.556E-03  7.529E-03  8.222E-07  3.534E-03 -1.319E-02 -4.262E-02 -1.139E-06 -3.402E-02
    2.500E+01  6.000E+00  3.352E-02  5.453E-02 -5.284E-03  7.302E-03 -5.523E-07  3.211E-03 -9.579E-03 -6.117E-02 -4.306E-06 -4.360E-02
    3.000E+01  6.000E+00  4.464E-02  7.248E-02 -3.612E-03  7.712E-03 -5.490E-06  2.734E-03 -6.256E-03 -8.637E-02 -1.132E-05 -5.734E-02
    3.500E+01  6.000E+00  5.976E-02  9.628E-02 -1.486E-03  8.855E-03 -1.778E-05  2.156E-03 -3.185E-03 -1.199E-01 -2.412E-05 -7.637E-02
    4.000E+01  6.000E+00  7.945E-02  1.270E-01  1.059E-03  1.076E-02 -4.245E-05  1.546E-03 -3.770E-04 -1.633E-01 -4.423E-05 -1.016E-01
    4.500E+01  6.000E+00  1.034E-01  1.643E-01  3.868E-03  1.328E-02 -8.384E-05  9.701E-04  2.133E-03 -2.160E-01 -7.165E-05 -1.328E-01
