      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  3.500E+00  4.264E-03  8.891E-02 -1.903E-03  6.265E-02  1.635E-09  6.207E-04 -1.535E-01 -2.793E-03 -3.679E-10 -1.088E-01
    1.000E-02  3.500E+00  6.622E-03  1.176E-01 -2.828E-03  8.283E-02  3.457E-09  8.872E-04 -2.029E-01 -4.133E-03 -7.246E-10 -1.438E-01
    2.000E-02  3.500E+00  9.845E-03  1.472E-01 -4.102E-03  1.036E-01  7.043E-09  1.264E-03 -2.538E-01 -6.023E-03 -1.435E-09 -1.800E-01
    5.000E-02  3.500E+00  1.597E-02  1.733E-01 -6.533E-03  1.218E-01  1.807E-08  1.979E-03 -2.984E-01 -9.588E-03 -3.662E-09 -2.118E-01
    1.000E-01  3.500E+00  2.247E-02  1.722E-01 -9.110E-03  1.208E-01  3.520E-08  2.743E-03 -2.958E-01 -1.340E-02 -7.478E-09 -2.103E-01
    2.000E-01  3.500E+00  3.085E-02  1.534E-01 -1.240E-02  1.072E-01  6.956E-08  3.727E-03 -2.624E-01 -1.836E-02 -1.826E-08 -1.872E-01
    3.000E-01  3.500E+00  3.653E-02  1.378E-01 -1.459E-02  9.584E-02  1.023E-07  4.391E-03 -2.346E-01 -2.176E-02 -3.660E-08 -1.678E-01
    4.000E-01  3.500E+00  4.079E-02  1.261E-01 -1.620E-02  8.731E-02  1.359E-07  4.885E-03 -2.137E-01 -2.435E-02 -6.578E-08 -1.533E-01
    5.000E-01  3.500E+00  4.414E-02  1.170E-01 -1.744E-02  8.072E-02  1.700E-07  5.270E-03 -1.975E-01 -2.641E-02 -1.104E-07 -1.421E-01
    7.500E-01  3.500E+00  5.004E-02  1.015E-01 -1.952E-02  6.930E-02  2.709E-07  5.942E-03 -1.695E-01 -3.016E-02 -3.146E-07 -1.228E-01
    1.000E+00  3.500E+00  5.384E-02  9.156E-02 -2.074E-02  6.190E-02  4.025E-07  6.367E-03 -1.513E-01 -3.275E-02 -6.983E-07 -1.104E-01
    2.000E+00  3.500E+00  6.053E-02  7.253E-02 -2.217E-02  4.700E-02  1.499E-06  7.105E-03 -1.142E-01 -3.862E-02 -5.180E-06 -8.602E-02
    3.000E+00  3.500E+00  6.269E-02  6.527E-02 -2.175E-02  4.023E-02  3.950E-06  7.376E-03 -9.690E-02 -4.253E-02 -1.691E-05 -7.591E-02
    5.000E+00  3.500E+00  6.499E-02  6.158E-02 -1.998E-02  3.355E-02  1.378E-05  7.815E-03 -7.827E-02 -5.103E-02 -7.337E-05 -6.838E-02
    7.000E+00  3.500E+00  6.830E-02  6.411E-02 -1.815E-02  3.014E-02  2.841E-05  8.411E-03 -6.684E-02 -6.250E-02 -1.867E-04 -6.772E-02
    1.000E+01  3.500E+00  7.718E-02  7.431E-02 -1.555E-02  2.734E-02  4.599E-05  9.512E-03 -5.409E-02 -8.656E-02 -4.770E-04 -7.316E-02
    1.500E+01  3.500E+00  1.047E-01  1.045E-01 -1.061E-02  2.536E-02 -1.934E-05  1.116E-02 -3.674E-02 -1.477E-01 -1.240E-03 -9.444E-02
    2.000E+01  3.500E+00  1.510E-01  1.512E-01 -3.827E-03  2.500E-02 -3.540E-04  1.155E-02 -2.127E-02 -2.396E-01 -2.162E-03 -1.302E-01
