      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  7.000E+00  4.478E-04  2.024E-02 -5.156E-04  1.424E-02  6.585E-10  3.081E-04 -3.487E-02 -5.243E-04 -4.086E-10 -2.475E-02
    1.000E-02  7.000E+00  8.549E-04  2.677E-02 -8.672E-04  1.882E-02  1.607E-09  4.427E-04 -4.610E-02 -8.801E-04 -8.120E-10 -3.272E-02
    2.000E-02  7.000E+00  1.419E-03  3.352E-02 -1.339E-03  2.355E-02  3.541E-09  6.331E-04 -5.767E-02 -1.367E-03 -1.614E-09 -4.096E-02
    5.000E-02  7.000E+00  2.480E-03  3.947E-02 -2.223E-03  2.767E-02  9.329E-09  9.924E-04 -6.776E-02 -2.264E-03 -3.966E-09 -4.820E-02
    1.000E-01  7.000E+00  3.594E-03  3.925E-02 -3.153E-03  2.742E-02  1.877E-08  1.376E-03 -6.714E-02 -3.212E-03 -7.843E-09 -4.788E-02
    2.000E-01  7.000E+00  5.016E-03  3.502E-02 -4.340E-03  2.431E-02  3.664E-08  1.871E-03 -5.950E-02 -4.431E-03 -1.567E-08 -4.263E-02
    3.000E-01  7.000E+00  5.976E-03  3.149E-02 -5.136E-03  2.172E-02  5.347E-08  2.204E-03 -5.315E-02 -5.259E-03 -2.439E-08 -3.824E-02
    4.000E-01  7.000E+00  6.692E-03  2.883E-02 -5.725E-03  1.977E-02  6.959E-08  2.451E-03 -4.837E-02 -5.881E-03 -3.467E-08 -3.494E-02
    5.000E-01  7.000E+00  7.252E-03  2.678E-02 -6.182E-03  1.826E-02  8.524E-08  2.644E-03 -4.467E-02 -6.371E-03 -4.749E-08 -3.240E-02
    7.500E-01  7.000E+00  8.233E-03  2.326E-02 -6.967E-03  1.565E-02  1.247E-07  2.977E-03 -3.827E-02 -7.240E-03 -9.536E-08 -2.800E-02
    1.000E+00  7.000E+00  8.856E-03  2.099E-02 -7.447E-03  1.395E-02  1.671E-07  3.182E-03 -3.411E-02 -7.807E-03 -1.755E-07 -2.516E-02
    2.000E+00  7.000E+00  9.891E-03  1.660E-02 -8.125E-03  1.053E-02  4.435E-07  3.493E-03 -2.572E-02 -8.868E-03 -1.053E-06 -1.953E-02
    3.000E+00  7.000E+00  1.013E-02  1.483E-02 -8.128E-03  8.964E-03  1.027E-06  3.528E-03 -2.185E-02 -9.302E-03 -3.354E-06 -1.709E-02
    5.000E+00  7.000E+00  1.015E-02  1.366E-02 -7.751E-03  7.378E-03  3.640E-06  3.457E-03 -1.786E-02 -9.938E-03 -1.478E-05 -1.501E-02
    7.000E+00  7.000E+00  1.018E-02  1.377E-02 -7.351E-03  6.516E-03  8.650E-06  3.397E-03 -1.557E-02 -1.077E-02 -3.877E-05 -1.434E-02
    1.000E+01  7.000E+00  1.051E-02  1.507E-02 -6.873E-03  5.711E-03  2.074E-05  3.385E-03 -1.322E-02 -1.261E-02 -1.047E-04 -1.448E-02
    1.500E+01  7.000E+00  1.192E-02  1.905E-02 -6.309E-03  4.894E-03  4.849E-05  3.509E-03 -1.033E-02 -1.732E-02 -3.042E-04 -1.639E-02
    2.000E+01  7.000E+00  1.443E-02  2.490E-02 -5.831E-03  4.404E-03  7.150E-05  3.694E-03 -7.863E-03 -2.428E-02 -6.108E-04 -1.994E-02
    2.500E+01  7.000E+00  1.819E-02  3.271E-02 -5.284E-03  4.194E-03  6.802E-05  3.852E-03 -5.585E-03 -3.382E-02 -9.967E-04 -2.522E-02
    3.000E+01  7.000E+00  2.346E-02  4.295E-02 -4.576E-03  4.304E-03  1.544E-05  3.946E-03 -3.412E-03 -4.657E-02 -1.422E-03 -3.267E-02
    3.500E+01  7.000E+00  3.060E-02  5.632E-02 -3.644E-03  4.802E-03 -1.068E-04  3.962E-03 -1.328E-03 -6.343E-02 -1.843E-03 -4.293E-02
    4.000E+01  7.000E+00  4.007E-02  7.374E-02 -2.452E-03  5.755E-03 -3.145E-04  3.897E-03  6.548E-04 -8.555E-02 -2.215E-03 -5.680E-02
    4.500E+01  7.000E+00  5.235E-02  9.617E-02 -9.867E-04  7.212E-03 -6.143E-04  3.752E-03  2.512E-03 -1.142E-01 -2.501E-03 -7.513E-02
    5.000E+01  7.000E+00  6.768E-02  1.242E-01  7.293E-04  9.156E-03 -9.980E-04  3.519E-03  4.202E-03 -1.500E-01 -2.668E-03 -9.837E-02
    5.500E+01  7.000E+00  8.553E-02  1.569E-01  2.608E-03  1.144E-02 -1.435E-03  3.174E-03  5.668E-03 -1.920E-01 -2.696E-03 -1.258E-01
    6.000E+01  7.000E+00  1.038E-01  1.906E-01  4.458E-03  1.372E-02 -1.868E-03  2.683E-03  6.834E-03 -2.352E-01 -2.578E-03 -1.541E-01
    6.500E+01  7.000E+00  1.183E-01  2.178E-01  5.982E-03  1.544E-02 -2.217E-03  2.027E-03  7.622E-03 -2.702E-01 -2.327E-03 -1.768E-01
    7.000E+01  7.000E+00  1.244E-01  2.298E-01  6.875E-03  1.603E-02 -2.409E-03  1.240E-03  7.988E-03 -2.857E-01 -1.981E-03 -1.867E-01
    7.500E+01  7.000E+00  1.199E-01  2.228E-01  7.018E-03  1.532E-02 -2.420E-03  4.173E-04  7.955E-03 -2.768E-01 -1.595E-03 -1.804E-01
    8.000E+01  7.000E+00  1.073E-01  2.006E-01  6.559E-03  1.360E-02 -2.281E-03 -3.418E-04  7.580E-03 -2.484E-01 -1.221E-03 -1.611E-01
    8.500E+01  7.000E+00  9.086E-02  1.713E-01  5.780E-03  1.145E-02 -2.053E-03 -9.310E-04  7.047E-03 -2.109E-01 -8.953E-04 -1.359E-01
    9.000E+01  7.000E+00  7.448E-02  1.417E-01  4.925E-03  9.320E-03 -1.793E-03 -1.339E-03  6.432E-03 -1.731E-01 -6.317E-04 -1.106E-01
    1.000E+02  7.000E+00  4.833E-02  9.410E-02  3.453E-03  5.878E-03 -1.314E-03 -1.729E-03  5.219E-03 -1.120E-01 -2.785E-04 -6.979E-02
    1.050E+02  7.000E+00  3.897E-02  7.689E-02  2.892E-03  4.628E-03 -1.117E-03 -1.773E-03  4.682E-03 -8.999E-02 -1.695E-04 -5.506E-02
    1.100E+02  7.000E+00  3.163E-02  6.334E-02  2.436E-03  3.642E-03 -9.496E-04 -1.757E-03  4.202E-03 -7.260E-02 -9.222E-05 -4.347E-02
    1.150E+02  7.000E+00  2.589E-02  5.272E-02  2.067E-03  2.869E-03 -8.096E-04 -1.702E-03  3.779E-03 -5.895E-02 -3.867E-05 -3.439E-02
    1.200E+02  7.000E+00  2.139E-02  4.437E-02  1.768E-03  2.269E-03 -6.925E-04 -1.621E-03  3.403E-03 -4.820E-02 -2.592E-06 -2.727E-02
    1.250E+02  7.000E+00  1.783E-02  3.779E-02  1.524E-03  1.798E-03 -5.947E-04 -1.527E-03  3.078E-03 -3.969E-02  2.072E-05 -2.165E-02
    1.300E+02  7.000E+00  1.501E-02  3.256E-02  1.324E-03  1.430E-03 -5.129E-04 -1.425E-03  2.791E-03 -3.291E-02  3.477E-05 -1.720E-02
    1.350E+02  7.000E+00  1.274E-02  2.837E-02  1.158E-03  1.142E-03 -4.442E-04 -1.320E-03  2.539E-03 -2.747E-02  4.213E-05 -1.363E-02
    1.400E+02  7.000E+00  1.090E-02  2.501E-02  1.019E-03  9.180E-04 -3.864E-04 -1.216E-03  2.316E-03 -2.306E-02  4.472E-05 -1.076E-02
    1.450E+02  7.000E+00  9.407E-03  2.228E-02  9.033E-04  7.433E-04 -3.375E-04 -1.114E-03  2.119E-03 -1.947E-02  4.395E-05 -8.430E-03
