      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
   5.0000000E-03  2.600E+01  2.220E-05  1.503E-05  1.561E-05  9.732E-06 -5.051E-11  7.072E-06 -2.397E-05  7.924E-06 -7.311E-11 -1.789E-05
   1.0000000E-02  2.600E+01  1.568E-05  1.995E-05  9.332E-06  1.284E-05 -1.505E-10  9.616E-06 -3.164E-05  4.970E-06 -1.298E-11 -2.370E-05
   2.0000000E-02  2.600E+01  1.477E-05  2.515E-05  2.886E-06  1.600E-05 -3.583E-10  1.324E-05 -3.945E-05  1.799E-06  1.314E-10 -2.977E-05
   5.0000000E-02  2.600E+01  1.902E-05  3.019E-05 -6.958E-06  1.856E-05 -9.918E-10  2.024E-05 -4.592E-05 -3.096E-06  6.092E-10 -3.536E-05
   1.0000000E-01  2.600E+01  2.546E-05  3.098E-05 -1.601E-05  1.801E-05 -2.024E-09  2.784E-05 -4.479E-05 -7.623E-06  1.419E-09 -3.566E-05
   2.0000000E-01  2.600E+01  3.439E-05  2.925E-05 -2.685E-05  1.529E-05 -3.973E-09  3.764E-05 -3.849E-05 -1.304E-05  2.977E-09 -3.262E-05
   3.0000000E-01  2.600E+01  4.056E-05  2.766E-05 -3.394E-05  1.308E-05 -5.770E-09  4.427E-05 -3.340E-05 -1.657E-05  4.430E-09 -2.997E-05
   4.0000000E-01  2.600E+01  4.517E-05  2.650E-05 -3.915E-05  1.137E-05 -7.429E-09  4.920E-05 -2.957E-05 -1.916E-05  5.781E-09 -2.795E-05
   5.0000000E-01  2.600E+01  4.877E-05  2.566E-05 -4.320E-05  1.003E-05 -8.963E-09  5.304E-05 -2.660E-05 -2.116E-05  7.036E-09 -2.639E-05
   7.5000000E-01  2.600E+01  5.500E-05  2.439E-05 -5.023E-05  7.566E-06 -1.233E-08  5.968E-05 -2.148E-05 -2.463E-05  9.815E-09 -2.365E-05
   1.0000000E+00  2.600E+01  5.887E-05  2.379E-05 -5.465E-05  5.814E-06 -1.516E-08  6.377E-05 -1.817E-05 -2.678E-05  1.217E-08 -2.180E-05
   2.0000000E+00  2.600E+01  6.460E-05  2.406E-05 -6.176E-05  1.224E-06 -2.292E-08  6.974E-05 -1.170E-05 -3.007E-05  1.882E-08 -1.755E-05
   3.0000000E+00  2.600E+01  6.498E-05  2.628E-05 -6.301E-05 -2.355E-06 -2.740E-08  6.992E-05 -8.927E-06 -3.037E-05  2.294E-08 -1.492E-05
   5.0000000E+00  2.600E+01  6.262E-05  3.386E-05 -6.188E-05 -9.580E-06 -3.165E-08  6.675E-05 -6.231E-06 -2.910E-05  2.770E-08 -1.086E-05
   7.0000000E+00  2.600E+01  6.005E-05  4.429E-05 -6.021E-05 -1.777E-05 -3.258E-08  6.304E-05 -4.780E-06 -2.761E-05  3.013E-08 -7.114E-06
   1.0000000E+01  2.600E+01  5.733E-05  6.395E-05 -5.849E-05 -3.229E-05 -3.033E-08  5.797E-05 -3.344E-06 -2.589E-05  3.130E-08 -1.486E-06
   1.5000000E+01  2.600E+01  5.568E-05  1.046E-04 -5.774E-05 -6.073E-05 -1.949E-08  5.127E-05 -1.763E-06 -2.615E-05  2.813E-08  8.821E-06
   2.0000000E+01  2.600E+01  5.675E-05  1.530E-04 -5.869E-05 -9.373E-05 -1.348E-09  4.577E-05 -8.932E-07 -3.056E-05  1.849E-08  1.995E-05
   2.5000000E+01  2.600E+01  5.990E-05  2.062E-04 -6.060E-05 -1.289E-04  2.289E-08  4.034E-05 -6.449E-07 -3.909E-05  1.524E-09  3.094E-05
   3.0000000E+01  2.600E+01  6.481E-05  2.631E-04 -6.304E-05 -1.652E-04  5.202E-08  3.460E-05 -1.043E-06 -5.181E-05 -2.417E-08  4.112E-05
   3.5000000E+01  2.600E+01  7.131E-05  3.230E-04 -6.577E-05 -2.014E-04  8.483E-08  2.850E-05 -1.882E-06 -6.896E-05 -6.074E-08  4.970E-05
