      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
   5.0000000E-03  1.600E+01  5.523E-05  5.684E-04  2.940E-05  3.949E-04 -1.183E-10  4.572E-05 -9.663E-04  1.777E-05 -7.149E-11 -6.920E-04
   1.0000000E-02  1.600E+01  5.039E-05  7.523E-04 -1.334E-05  5.220E-04 -1.947E-10  6.607E-05 -1.277E-03 -1.062E-05 -1.693E-11 -9.157E-04
   2.0000000E-02  1.600E+01  6.892E-05  9.434E-04 -6.458E-05  6.527E-04 -3.387E-10  9.501E-05 -1.596E-03 -4.478E-05  1.155E-10 -1.147E-03
   5.0000000E-02  1.600E+01  1.201E-04  1.115E-03 -1.526E-04  7.658E-04 -7.491E-10  1.492E-04 -1.871E-03 -1.037E-04  5.519E-10 -1.352E-03
   1.0000000E-01  1.600E+01  1.786E-04  1.115E-03 -2.407E-04  7.572E-04 -1.395E-09  2.072E-04 -1.849E-03 -1.628E-04  1.294E-09 -1.348E-03
   2.0000000E-01  1.600E+01  2.542E-04  1.006E-03 -3.505E-04  6.680E-04 -2.612E-09  2.817E-04 -1.629E-03 -2.367E-04  2.746E-09 -1.207E-03
   3.0000000E-01  1.600E+01  3.052E-04  9.137E-04 -4.236E-04  5.940E-04 -3.724E-09  3.321E-04 -1.447E-03 -2.861E-04  4.104E-09 -1.088E-03
   4.0000000E-01  1.600E+01  3.431E-04  8.444E-04 -4.778E-04  5.382E-04 -4.763E-09  3.695E-04 -1.310E-03 -3.228E-04  5.384E-09 -9.988E-04
   5.0000000E-01  1.600E+01  3.727E-04  7.913E-04 -5.199E-04  4.949E-04 -5.736E-09  3.986E-04 -1.205E-03 -3.515E-04  6.590E-09 -9.299E-04
   7.5000000E-01  1.600E+01  4.238E-04  7.007E-04 -5.929E-04  4.192E-04 -7.905E-09  4.489E-04 -1.022E-03 -4.015E-04  9.324E-09 -8.106E-04
   1.0000000E+00  1.600E+01  4.557E-04  6.435E-04 -6.384E-04  3.693E-04 -9.784E-09  4.799E-04 -9.032E-04 -4.331E-04  1.172E-08 -7.333E-04
   2.0000000E+00  1.600E+01  5.047E-04  5.387E-04 -7.087E-04  2.633E-04 -1.530E-08  5.255E-04 -6.656E-04 -4.849E-04  1.924E-08 -5.766E-04
   3.0000000E+00  1.600E+01  5.103E-04  5.058E-04 -7.172E-04  2.073E-04 -1.881E-08  5.275E-04 -5.585E-04 -4.958E-04  2.495E-08 -5.045E-04
   5.0000000E+00  1.600E+01  4.964E-04  5.113E-04 -6.969E-04  1.327E-04 -2.195E-08  5.053E-04 -4.506E-04 -4.945E-04  3.401E-08 -4.331E-04
   7.0000000E+00  1.600E+01  4.808E-04  5.606E-04 -6.722E-04  7.086E-05 -2.077E-08  4.798E-04 -3.911E-04 -4.940E-04  4.130E-08 -3.974E-04
   1.0000000E+01  1.600E+01  4.672E-04  6.792E-04 -6.449E-04 -2.093E-05 -1.112E-08  4.473E-04 -3.328E-04 -5.078E-04  4.912E-08 -3.703E-04
   1.5000000E+01  1.600E+01  4.703E-04  9.515E-04 -6.231E-04 -1.808E-04  2.603E-08  4.083E-04 -2.641E-04 -5.780E-04  5.075E-08 -3.593E-04
   2.0000000E+01  1.600E+01  4.999E-04  1.293E-03 -6.198E-04 -3.519E-04  8.825E-08  3.794E-04 -2.086E-04 -7.061E-04  3.010E-08 -3.781E-04
   2.5000000E+01  1.600E+01  5.520E-04  1.685E-03 -6.263E-04 -5.242E-04  1.716E-07  3.521E-04 -1.601E-04 -8.891E-04 -2.752E-08 -4.276E-04
   3.0000000E+01  1.600E+01  6.252E-04  2.124E-03 -6.378E-04 -6.913E-04  2.700E-07  3.229E-04 -1.159E-04 -1.127E-03 -1.468E-07 -5.140E-04
   3.5000000E+01  1.600E+01  7.193E-04  2.613E-03 -6.515E-04 -8.455E-04  3.756E-07  2.906E-04 -7.407E-05 -1.423E-03 -3.663E-07 -6.461E-04
   4.0000000E+01  1.600E+01  8.350E-04  3.156E-03 -6.655E-04 -9.816E-04  4.777E-07  2.540E-04 -3.476E-05 -1.779E-03 -7.408E-07 -8.334E-04
   4.5000000E+01  1.600E+01  9.737E-04  3.761E-03 -6.786E-04 -1.095E-03  5.613E-07  2.134E-04  2.104E-06 -2.199E-03 -1.342E-06 -1.087E-03
   5.0000000E+01  1.600E+01  1.137E-03  4.441E-03 -6.899E-04 -1.182E-03  6.048E-07  1.691E-04  3.631E-05 -2.690E-03 -2.256E-06 -1.420E-03
   5.5000000E+01  1.600E+01  1.329E-03  5.210E-03 -6.988E-04 -1.239E-03  5.775E-07  1.220E-04  6.749E-05 -3.261E-03 -3.583E-06 -1.847E-03
   6.0000000E+01  1.600E+01  1.552E-03  6.089E-03 -7.044E-04 -1.263E-03  4.349E-07  7.283E-05  9.520E-05 -3.926E-03 -5.428E-06 -2.386E-03
   6.5000000E+01  1.600E+01  1.811E-03  7.101E-03 -7.060E-04 -1.251E-03  1.155E-07  2.268E-05  1.190E-04 -4.699E-03 -7.897E-06 -3.058E-03
   7.0000000E+01  1.600E+01  2.113E-03  8.275E-03 -7.027E-04 -1.201E-03 -4.612E-07 -2.741E-05  1.387E-04 -5.602E-03 -1.109E-05 -3.888E-03
