      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  2.000E+00  1.324E-02  1.821E-01 -2.821E-03  1.284E-01  2.112E-09  6.842E-04 -3.146E-01 -5.959E-03 -1.100E-11 -2.228E-01
    1.000E-02  2.000E+00  1.933E-02  2.408E-01 -4.064E-03  1.698E-01  4.338E-09  9.707E-04 -4.159E-01 -8.554E-03 -4.076E-11 -2.946E-01
    2.000E-02  2.000E+00  2.777E-02  3.014E-01 -5.791E-03  2.125E-01  8.855E-09  1.371E-03 -5.204E-01 -1.217E-02 -9.060E-11 -3.688E-01
    5.000E-02  2.000E+00  4.403E-02  3.548E-01 -9.107E-03  2.498E-01  2.190E-08  2.154E-03 -6.119E-01 -1.926E-02 -1.999E-10 -4.339E-01
    1.000E-01  2.000E+00  6.139E-02  3.526E-01 -1.261E-02  2.478E-01  4.295E-08  2.986E-03 -6.069E-01 -2.685E-02 -1.922E-10 -4.309E-01
    2.000E-01  2.000E+00  8.381E-02  3.140E-01 -1.705E-02  2.200E-01  8.299E-08  4.060E-03 -5.386E-01 -3.682E-02 -4.104E-10 -3.834E-01
    3.000E-01  2.000E+00  9.906E-02  2.819E-01 -1.996E-02  1.967E-01  1.189E-07  4.790E-03 -4.817E-01 -4.378E-02 -2.228E-10 -3.438E-01
    4.000E-01  2.000E+00  1.105E-01  2.578E-01 -2.206E-02  1.793E-01  1.522E-07  5.339E-03 -4.387E-01 -4.917E-02 -2.544E-10 -3.140E-01
    5.000E-01  2.000E+00  1.195E-01  2.393E-01 -2.364E-02  1.658E-01  1.837E-07  5.773E-03 -4.055E-01 -5.356E-02 -2.418E-10 -2.910E-01
    7.500E-01  2.000E+00  1.354E-01  2.075E-01 -2.618E-02  1.423E-01  2.508E-07  6.556E-03 -3.479E-01 -6.195E-02  5.584E-10 -2.514E-01
