      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
   5.0000000E-03  2.200E+01  4.573E-05  2.378E-05  3.231E-05  1.493E-05 -3.817E-11  1.523E-05 -3.638E-05  1.598E-05 -5.195E-11 -2.803E-05
   1.0000000E-02  2.200E+01  3.267E-05  3.173E-05  1.763E-05  1.975E-05 -1.679E-10  2.181E-05 -4.775E-05  8.408E-06  5.700E-11 -3.732E-05
   2.0000000E-02  2.200E+01  3.215E-05  4.023E-05  1.866E-06  2.456E-05 -4.433E-10  3.127E-05 -5.932E-05 -7.138E-09  3.049E-10 -4.702E-05
   5.0000000E-02  2.200E+01  4.357E-05  4.886E-05 -2.287E-05  2.846E-05 -1.288E-09  4.902E-05 -6.843E-05 -1.367E-05  1.093E-09 -5.630E-05
   1.0000000E-01  2.200E+01  5.969E-05  5.099E-05 -4.621E-05  2.754E-05 -2.677E-09  6.800E-05 -6.578E-05 -2.668E-05  2.413E-09 -5.747E-05
   2.0000000E-01  2.200E+01  8.168E-05  4.954E-05 -7.444E-05  2.326E-05 -5.310E-09  9.245E-05 -5.493E-05 -4.248E-05  4.940E-09 -5.371E-05
   3.0000000E-01  2.200E+01  9.676E-05  4.794E-05 -9.298E-05  1.977E-05 -7.745E-09  1.090E-04 -4.631E-05 -5.287E-05  7.292E-09 -5.024E-05
   4.0000000E-01  2.200E+01  1.080E-04  4.683E-05 -1.067E-04  1.708E-05 -9.999E-09  1.213E-04 -3.984E-05 -6.054E-05  9.479E-09 -4.761E-05
   5.0000000E-01  2.200E+01  1.168E-04  4.609E-05 -1.173E-04  1.493E-05 -1.208E-08  1.308E-04 -3.484E-05 -6.649E-05  1.151E-08 -4.557E-05
   7.5000000E-01  2.200E+01  1.320E-04  4.522E-05 -1.357E-04  1.096E-05 -1.669E-08  1.474E-04 -2.619E-05 -7.681E-05  1.601E-08 -4.199E-05
   1.0000000E+00  2.200E+01  1.414E-04  4.512E-05 -1.473E-04  8.078E-06 -2.058E-08  1.577E-04 -2.063E-05 -8.327E-05  1.984E-08 -3.956E-05
   2.0000000E+00  2.200E+01  1.554E-04  4.796E-05 -1.658E-04  9.935E-08 -3.141E-08  1.730E-04 -9.981E-06 -9.337E-05  3.081E-08 -3.369E-05
   3.0000000E+00  2.200E+01  1.564E-04  5.358E-05 -1.689E-04 -6.572E-06 -3.785E-08  1.741E-04 -5.641E-06 -9.468E-05  3.782E-08 -2.975E-05
   5.0000000E+00  2.200E+01  1.507E-04  7.030E-05 -1.655E-04 -2.064E-05 -4.433E-08  1.676E-04 -1.539E-06 -9.186E-05  4.647E-08 -2.334E-05
   7.0000000E+00  2.200E+01  1.444E-04  9.252E-05 -1.607E-04 -3.688E-05 -4.607E-08  1.601E-04  7.681E-07 -8.849E-05  5.156E-08 -1.735E-05
   1.0000000E+01  2.200E+01  1.377E-04  1.339E-04 -1.557E-04 -6.578E-05 -4.308E-08  1.507E-04  3.341E-06 -8.529E-05  5.549E-08 -8.446E-06
   1.5000000E+01  2.200E+01  1.333E-04  2.190E-04 -1.528E-04 -1.220E-04 -2.666E-08  1.403E-04  7.246E-06 -8.820E-05  5.441E-08  6.844E-06
   2.0000000E+01  2.200E+01  1.352E-04  3.206E-04 -1.545E-04 -1.864E-04  1.795E-09  1.337E-04  1.086E-05 -1.018E-04  4.369E-08  2.160E-05
   2.5000000E+01  2.200E+01  1.418E-04  4.332E-04 -1.589E-04 -2.541E-04  4.037E-08  1.279E-04  1.388E-05 -1.258E-04  2.150E-08  3.377E-05
