      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
   5.0000000E-03  1.400E+01  4.112E-05  1.886E-03 -9.883E-06  1.322E-03 -1.140E-10  6.379E-05 -3.236E-03 -8.475E-06 -1.429E-10 -2.303E-03
   1.0000000E-02  1.400E+01  5.869E-05  2.494E-03 -6.690E-05  1.747E-03 -6.556E-11  9.057E-05 -4.278E-03 -5.262E-05 -1.559E-10 -3.045E-03
   2.0000000E-02  1.400E+01  1.002E-04  3.124E-03 -1.385E-04  2.186E-03  6.167E-11  1.280E-04 -5.351E-03 -1.081E-04 -1.578E-10 -3.813E-03
   5.0000000E-02  1.400E+01  1.892E-04  3.683E-03 -2.673E-04  2.567E-03  4.970E-10  2.012E-04 -6.285E-03 -2.086E-04 -1.098E-10 -4.489E-03
   1.0000000E-01  1.400E+01  2.846E-04  3.669E-03 -3.987E-04  2.542E-03  1.244E-09  2.789E-04 -6.223E-03 -3.111E-04  1.073E-11 -4.463E-03
   2.0000000E-01  1.400E+01  4.063E-04  3.283E-03 -5.645E-04  2.250E-03  2.701E-09  3.788E-04 -5.505E-03 -4.408E-04  2.820E-10 -3.979E-03
   3.0000000E-01  1.400E+01  4.881E-04  2.959E-03 -6.753E-04  2.006E-03  4.049E-09  4.462E-04 -4.910E-03 -5.278E-04  5.755E-10 -3.573E-03
   4.0000000E-01  1.400E+01  5.488E-04  2.715E-03 -7.575E-04  1.823E-03  5.296E-09  4.962E-04 -4.461E-03 -5.927E-04  8.656E-10 -3.268E-03
   5.0000000E-01  1.400E+01  5.962E-04  2.528E-03 -8.214E-04  1.681E-03  6.430E-09  5.351E-04 -4.115E-03 -6.433E-04  1.168E-09 -3.032E-03
   7.5000000E-01  1.400E+01  6.784E-04  2.205E-03 -9.319E-04  1.434E-03  8.918E-09  6.020E-04 -3.514E-03 -7.320E-04  1.912E-09 -2.624E-03
   1.0000000E+00  1.400E+01  7.298E-04  1.998E-03 -1.000E-03  1.273E-03  1.101E-08  6.429E-04 -3.123E-03 -7.882E-04  2.658E-09 -2.359E-03
   2.0000000E+00  1.400E+01  8.101E-04  1.598E-03 -1.104E-03  9.403E-04  1.653E-08  7.010E-04 -2.336E-03 -8.818E-04  5.763E-09 -1.826E-03
   3.0000000E+00  1.400E+01  8.215E-04  1.439E-03 -1.113E-03  7.787E-04  1.987E-08  7.006E-04 -1.975E-03 -9.040E-04  9.052E-09 -1.586E-03
   5.0000000E+00  1.400E+01  8.044E-04  1.344E-03 -1.077E-03  5.933E-04  2.553E-08  6.644E-04 -1.605E-03 -9.107E-04  1.602E-08 -1.356E-03
   7.0000000E+00  1.400E+01  7.852E-04  1.371E-03 -1.034E-03  4.666E-04  3.353E-08  6.234E-04 -1.399E-03 -9.220E-04  2.261E-08 -1.250E-03
   1.0000000E+01  1.400E+01  7.735E-04  1.519E-03 -9.862E-04  3.061E-04  5.419E-08  5.687E-04 -1.197E-03 -9.702E-04  2.962E-08 -1.181E-03
   1.5000000E+01  1.400E+01  8.011E-04  1.925E-03 -9.431E-04  5.817E-05  1.168E-07  4.950E-04 -9.688E-04 -1.145E-03  2.469E-08 -1.176E-03
