      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  9.000E+00  1.723E-04  1.096E-02 -2.371E-04  7.704E-03  3.731E-10  1.904E-04 -1.887E-02 -2.297E-04 -2.793E-10 -1.339E-02
    1.000E-02  9.000E+00  3.470E-04  1.449E-02 -4.293E-04  1.019E-02  1.030E-09  2.709E-04 -2.494E-02 -4.134E-04 -4.986E-10 -1.771E-02
    2.000E-02  9.000E+00  5.977E-04  1.815E-02 -6.842E-04  1.274E-02  2.381E-09  3.832E-04 -3.121E-02 -6.568E-04 -9.195E-10 -2.217E-02
    5.000E-02  9.000E+00  1.075E-03  2.138E-02 -1.161E-03  1.498E-02  6.489E-09  6.035E-04 -3.667E-02 -1.118E-03 -2.137E-09 -2.610E-02
    1.000E-01  9.000E+00  1.575E-03  2.126E-02 -1.659E-03  1.484E-02  1.316E-08  8.366E-04 -3.634E-02 -1.597E-03 -4.068E-09 -2.593E-02
    2.000E-01  9.000E+00  2.211E-03  1.898E-02 -2.294E-03  1.315E-02  2.579E-08  1.136E-03 -3.220E-02 -2.212E-03 -7.646E-09 -2.309E-02
    3.000E-01  9.000E+00  2.639E-03  1.707E-02 -2.719E-03  1.175E-02  3.741E-08  1.338E-03 -2.876E-02 -2.628E-03 -1.089E-08 -2.072E-02
    4.000E-01  9.000E+00  2.958E-03  1.563E-02 -3.035E-03  1.069E-02  4.806E-08  1.488E-03 -2.617E-02 -2.939E-03 -1.374E-08 -1.893E-02
    5.000E-01  9.000E+00  3.207E-03  1.452E-02 -3.280E-03  9.874E-03  5.790E-08  1.604E-03 -2.417E-02 -3.184E-03 -1.646E-08 -1.755E-02
    7.500E-01  9.000E+00  3.642E-03  1.261E-02 -3.701E-03  8.455E-03  7.946E-08  1.803E-03 -2.070E-02 -3.615E-03 -2.202E-08 -1.516E-02
    1.000E+00  9.000E+00  3.917E-03  1.138E-02 -3.960E-03  7.532E-03  9.747E-08  1.925E-03 -1.844E-02 -3.892E-03 -2.632E-08 -1.362E-02
    2.000E+00  9.000E+00  4.362E-03  8.991E-03 -4.334E-03  5.656E-03  1.465E-07  2.096E-03 -1.389E-02 -4.384E-03 -3.579E-08 -1.054E-02
    3.000E+00  9.000E+00  4.449E-03  8.013E-03 -4.345E-03  4.781E-03  1.753E-07  2.094E-03 -1.179E-02 -4.547E-03 -3.705E-08 -9.186E-03
    5.000E+00  9.000E+00  4.418E-03  7.329E-03 -4.162E-03  3.859E-03  2.107E-07  1.991E-03 -9.629E-03 -4.728E-03 -2.752E-08 -7.959E-03
    7.000E+00  9.000E+00  4.384E-03  7.322E-03 -3.963E-03  3.315E-03  2.409E-07  1.881E-03 -8.406E-03 -4.972E-03 -1.094E-08 -7.476E-03
    1.000E+01  9.000E+00  4.442E-03  7.892E-03 -3.731E-03  2.736E-03  2.992E-07  1.741E-03 -7.186E-03 -5.563E-03  1.378E-08 -7.320E-03
    1.500E+01  9.000E+00  4.852E-03  9.698E-03 -3.482E-03  2.005E-03  4.540E-07  1.562E-03 -5.766E-03 -7.187E-03  4.713E-09 -7.819E-03
    2.000E+01  9.000E+00  5.642E-03  1.226E-02 -3.308E-03  1.399E-03  6.627E-07  1.396E-03 -4.653E-03 -9.622E-03 -1.919E-07 -8.954E-03
