      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  2.500E-01  3.706E-02  2.768E-01  4.387E-05  1.956E-01  5.526E-10  3.688E-05 -4.792E-01 -5.432E-03  2.316E-10 -3.390E-01
    1.000E-02  2.500E-01  5.251E-02  3.657E-01  6.185E-05  2.584E-01  1.104E-09  5.251E-05 -6.330E-01 -7.771E-03  4.404E-10 -4.478E-01
    2.000E-02  2.500E-01  7.419E-02  4.569E-01  9.758E-05  3.228E-01  2.265E-09  7.456E-05 -7.906E-01 -1.122E-02  8.823E-10 -5.594E-01
    5.000E-02  2.500E-01  1.166E-01  5.344E-01  2.177E-04  3.773E-01  5.010E-09  1.175E-04 -9.242E-01 -1.883E-02  2.307E-09 -6.542E-01
    1.000E-01  2.500E-01  1.628E-01  5.256E-01  4.654E-04  3.706E-01  1.054E-08  1.665E-04 -9.075E-01 -2.899E-02  4.702E-09 -6.431E-01
    2.000E-01  2.500E-01  2.252E-01  4.592E-01  1.096E-03  3.222E-01  1.947E-08  2.460E-04 -7.888E-01 -4.744E-02  9.960E-09 -5.608E-01
    3.000E-01  2.500E-01  2.709E-01  4.047E-01  1.860E-03  2.821E-01  2.835E-08  3.275E-04 -6.902E-01 -6.562E-02  1.711E-08 -4.931E-01
    4.000E-01  2.500E-01  3.081E-01  3.637E-01  2.725E-03  2.514E-01  3.731E-08  4.202E-04 -6.145E-01 -8.400E-02  2.616E-08 -4.417E-01
    5.000E-01  2.500E-01  3.403E-01  3.320E-01  3.672E-03  2.272E-01  4.341E-08  5.265E-04 -5.546E-01 -1.026E-01  3.733E-08 -4.017E-01
    7.500E-01  2.500E-01  4.078E-01  2.771E-01  6.304E-03  1.837E-01  6.114E-08  8.443E-04 -4.465E-01 -1.493E-01  7.551E-08 -3.314E-01
    1.000E+00  2.500E-01  4.642E-01  2.417E-01  9.193E-03  1.539E-01  7.465E-08  1.204E-03 -3.719E-01 -1.948E-01  1.232E-07 -2.848E-01
    2.000E+00  2.500E-01  6.196E-01  1.704E-01  2.108E-02  8.820E-02  1.215E-07  2.193E-03 -2.050E-01 -3.378E-01  3.466E-07 -1.870E-01
    3.000E+00  2.500E-01  6.699E-01  1.347E-01  3.010E-02  5.600E-02  1.403E-07  1.464E-03 -1.227E-01 -3.986E-01  4.425E-07 -1.379E-01
    6.000E+00  2.500E-01  4.892E-01  7.322E-02  3.500E-02  1.875E-02  3.951E-08 -5.682E-03 -3.363E-02 -3.107E-01  1.098E-08 -6.395E-02
    9.000E+00  2.500E-01  2.905E-01  4.281E-02  2.781E-02  8.125E-03 -1.004E-07 -1.013E-02 -1.326E-02 -1.863E-01 -3.121E-07 -3.247E-02
    1.200E+01  2.500E-01  1.769E-01  2.774E-02  2.083E-02  4.085E-03 -1.249E-07 -1.129E-02 -7.263E-03 -1.127E-01 -2.647E-07 -1.787E-02
    1.500E+01  2.500E-01  1.142E-01  1.973E-02  1.565E-02  2.217E-03 -5.515E-08 -1.096E-02 -5.032E-03 -7.155E-02 -8.756E-08 -1.045E-02
    1.800E+01  2.500E-01  7.773E-02  1.511E-02  1.194E-02  1.226E-03  4.639E-08 -1.011E-02 -4.006E-03 -4.767E-02  7.030E-08 -6.360E-03
    2.100E+01  2.500E-01  5.535E-02  1.226E-02  9.276E-03  6.528E-04  1.327E-07 -9.118E-03 -3.436E-03 -3.308E-02  1.635E-07 -3.952E-03
    2.400E+01  2.500E-01  4.087E-02  1.038E-02  7.328E-03  2.994E-04  1.841E-07 -8.154E-03 -3.065E-03 -2.375E-02  1.958E-07 -2.459E-03
    2.700E+01  2.500E-01  3.110E-02  9.085E-03  5.877E-03  7.231E-05  1.992E-07 -7.276E-03 -2.794E-03 -1.752E-02  1.856E-07 -1.495E-03
    3.000E+01  2.500E-01  2.426E-02  8.149E-03  4.777E-03 -7.802E-05  1.860E-07 -6.496E-03 -2.580E-03 -1.323E-02  1.531E-07 -8.523E-04
    3.300E+01  2.500E-01  1.933E-02  7.449E-03  3.930E-03 -1.794E-04  1.557E-07 -5.813E-03 -2.401E-03 -1.017E-02  1.126E-07 -4.112E-04
    3.600E+01  2.500E-01  1.568E-02  6.908E-03  3.268E-03 -2.482E-04  1.193E-07 -5.217E-03 -2.248E-03 -7.939E-03  7.450E-08 -1.017E-04
    3.900E+01  2.500E-01  1.291E-02  6.478E-03  2.743E-03 -2.949E-04  8.429E-08 -4.696E-03 -2.113E-03 -6.274E-03  4.315E-08  1.200E-04
    4.200E+01  2.500E-01  1.078E-02  6.130E-03  2.322E-03 -3.261E-04  5.574E-08 -4.241E-03 -1.993E-03 -5.007E-03  2.108E-08  2.817E-04
    4.500E+01  2.500E-01  9.107E-03  5.841E-03  1.981E-03 -3.461E-04  3.544E-08 -3.842E-03 -1.884E-03 -4.027E-03  7.745E-09  4.017E-04
    4.800E+01  2.500E-01  7.777E-03  5.597E-03  1.701E-03 -3.580E-04  2.441E-08 -3.490E-03 -1.786E-03 -3.256E-03  2.587E-09  4.923E-04
    5.100E+01  2.500E-01  6.703E-03  5.388E-03  1.470E-03 -3.640E-04  2.113E-08 -3.180E-03 -1.696E-03 -2.642E-03  3.388E-09  5.617E-04
    5.400E+01  2.500E-01  5.828E-03  5.206E-03  1.277E-03 -3.656E-04  2.414E-08 -2.904E-03 -1.613E-03 -2.147E-03  8.423E-09  6.158E-04
    5.700E+01  2.500E-01  5.106E-03  5.047E-03  1.115E-03 -3.639E-04  3.129E-08 -2.659E-03 -1.537E-03 -1.743E-03  1.596E-08  6.587E-04
    6.000E+01  2.500E-01  4.504E-03  4.906E-03  9.779E-04 -3.598E-04  4.075E-08 -2.440E-03 -1.466E-03 -1.411E-03  2.445E-08  6.932E-04
    6.300E+01  2.500E-01  3.999E-03  4.780E-03  8.613E-04 -3.538E-04  5.087E-08 -2.243E-03 -1.401E-03 -1.136E-03  3.278E-08  7.215E-04
    6.600E+01  2.500E-01  3.569E-03  4.666E-03  7.614E-04 -3.465E-04  6.022E-08 -2.066E-03 -1.340E-03 -9.061E-04  4.002E-08  7.450E-04
    6.900E+01  2.500E-01  3.199E-03  4.563E-03  6.750E-04 -3.381E-04  6.769E-08 -1.906E-03 -1.283E-03 -7.120E-04  4.565E-08  7.649E-04
    7.200E+01  2.500E-01  2.832E-03  4.469E-03  5.932E-04 -3.286E-04  7.131E-08 -1.749E-03 -1.229E-03 -5.394E-04  4.976E-08  7.819E-04
    7.500E+01  2.500E-01  2.662E-03  4.383E-03  5.426E-04 -3.202E-04  7.767E-08 -1.642E-03 -1.180E-03 -4.182E-04  5.100E-08  7.971E-04
    7.800E+01  2.500E-01  2.411E-03  4.304E-03  4.847E-04 -3.103E-04  7.764E-08 -1.521E-03 -1.133E-03 -2.975E-04  5.099E-08  8.103E-04
    8.100E+01  2.500E-01  2.202E-03  4.231E-03  4.353E-04 -3.012E-04  7.565E-08 -1.413E-03 -1.088E-03 -1.937E-04  4.928E-08  8.213E-04
