      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  1.000E+01  1.023E-04  6.182E-03 -1.324E-04  4.340E-03  1.342E-10  1.588E-04 -1.063E-02 -1.130E-04 -2.342E-10 -7.553E-03
    1.000E-02  1.000E+01  2.091E-04  8.177E-03 -2.938E-04  5.737E-03  5.052E-10  2.289E-04 -1.405E-02 -2.505E-04 -4.275E-10 -9.989E-03
    2.000E-02  1.000E+01  3.781E-04  1.024E-02 -5.039E-04  7.176E-03  1.284E-09  3.283E-04 -1.757E-02 -4.314E-04 -8.008E-10 -1.250E-02
    5.000E-02  1.000E+01  7.058E-04  1.207E-02 -8.886E-04  8.430E-03  3.657E-09  5.151E-04 -2.064E-02 -7.584E-04 -1.887E-09 -1.472E-02
    1.000E-01  1.000E+01  1.051E-03  1.201E-02 -1.288E-03  8.351E-03  7.570E-09  7.148E-04 -2.044E-02 -1.099E-03 -3.648E-09 -1.463E-02
    2.000E-01  1.000E+01  1.489E-03  1.073E-02 -1.796E-03  7.396E-03  1.495E-08  9.718E-04 -1.809E-02 -1.534E-03 -7.104E-09 -1.303E-02
    3.000E-01  1.000E+01  1.784E-03  9.666E-03 -2.137E-03  6.602E-03  2.191E-08  1.145E-03 -1.614E-02 -1.828E-03 -1.075E-08 -1.170E-02
    4.000E-01  1.000E+01  2.003E-03  8.862E-03 -2.389E-03  6.004E-03  2.850E-08  1.274E-03 -1.468E-02 -2.047E-03 -1.492E-08 -1.070E-02
    5.000E-01  1.000E+01  2.174E-03  8.244E-03 -2.585E-03  5.542E-03  3.496E-08  1.374E-03 -1.355E-02 -2.220E-03 -1.984E-08 -9.925E-03
    7.500E-01  1.000E+01  2.473E-03  7.179E-03 -2.924E-03  4.741E-03  5.062E-08  1.548E-03 -1.158E-02 -2.523E-03 -3.719E-08 -8.588E-03
    1.000E+00  1.000E+01  2.661E-03  6.496E-03 -3.132E-03  4.219E-03  6.721E-08  1.655E-03 -1.031E-02 -2.719E-03 -6.514E-08 -7.723E-03
    2.000E+00  1.000E+01  2.963E-03  5.172E-03 -3.442E-03  3.161E-03  1.703E-07  1.815E-03 -7.735E-03 -3.063E-03 -3.646E-07 -6.000E-03
    3.000E+00  1.000E+01  3.018E-03  4.642E-03 -3.461E-03  2.669E-03  3.863E-07  1.828E-03 -6.556E-03 -3.173E-03 -1.150E-06 -5.244E-03
    5.000E+00  1.000E+01  2.986E-03  4.304E-03 -3.332E-03  2.153E-03  1.377E-06  1.773E-03 -5.343E-03 -3.283E-03 -5.085E-06 -4.570E-03
    7.000E+00  1.000E+01  2.948E-03  4.358E-03 -3.187E-03  1.851E-03  3.359E-06  1.716E-03 -4.654E-03 -3.427E-03 -1.346E-05 -4.317E-03
    1.000E+01  1.000E+01  2.959E-03  4.783E-03 -3.019E-03  1.533E-03  8.477E-06  1.662E-03 -3.955E-03 -3.783E-03 -3.682E-05 -4.268E-03
    1.500E+01  1.000E+01  3.169E-03  6.024E-03 -2.850E-03  1.133E-03  2.234E-05  1.643E-03 -3.098E-03 -4.763E-03 -1.099E-04 -4.632E-03
    2.000E+01  1.000E+01  3.604E-03  7.755E-03 -2.753E-03  7.970E-04  4.009E-05  1.670E-03 -2.368E-03 -6.224E-03 -2.272E-04 -5.380E-03
    2.500E+01  1.000E+01  4.263E-03  9.926E-03 -2.677E-03  5.147E-04  5.651E-05  1.703E-03 -1.690E-03 -8.172E-03 -3.835E-04 -6.490E-03
    3.000E+01  1.000E+01  5.163E-03  1.258E-02 -2.595E-03  2.972E-04  6.581E-05  1.727E-03 -1.037E-03 -1.066E-02 -5.687E-04 -8.017E-03
    3.500E+01  1.000E+01  6.335E-03  1.581E-02 -2.487E-03  1.660E-04  6.219E-05  1.734E-03 -4.011E-04 -1.379E-02 -7.708E-04 -1.006E-02
    4.000E+01  1.000E+01  7.825E-03  1.974E-02 -2.342E-03  1.451E-04  4.033E-05  1.722E-03  2.180E-04 -1.769E-02 -9.771E-04 -1.274E-02
    4.500E+01  1.000E+01  9.699E-03  2.457E-02 -2.149E-03  2.609E-04 -4.324E-06  1.692E-03  8.182E-04 -2.255E-02 -1.175E-03 -1.623E-02
    5.000E+01  1.000E+01  1.204E-02  3.053E-02 -1.901E-03  5.413E-04 -7.543E-05  1.649E-03  1.396E-03 -2.861E-02 -1.355E-03 -2.077E-02
    5.500E+01  1.000E+01  1.496E-02  3.796E-02 -1.589E-03  1.015E-03 -1.756E-04  1.599E-03  1.947E-03 -3.621E-02 -1.505E-03 -2.662E-02
    6.000E+01  1.000E+01  1.860E-02  4.722E-02 -1.206E-03  1.712E-03 -3.063E-04  1.546E-03  2.467E-03 -4.575E-02 -1.618E-03 -3.412E-02
    6.500E+01  1.000E+01  2.312E-02  5.876E-02 -7.450E-04  2.653E-03 -4.672E-04  1.496E-03  2.949E-03 -5.768E-02 -1.687E-03 -4.364E-02
    7.000E+01  1.000E+01  2.867E-02  7.299E-02 -2.001E-04  3.854E-03 -6.554E-04  1.448E-03  3.388E-03 -7.243E-02 -1.708E-03 -5.553E-02
    7.500E+01  1.000E+01  3.531E-02  9.011E-02  4.259E-04  5.299E-03 -8.640E-04  1.399E-03  3.779E-03 -9.025E-02 -1.678E-03 -6.997E-02
