      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  9.500E+00  1.236E-04  7.513E-03 -1.709E-04  5.276E-03  1.967E-10  1.771E-04 -1.292E-02 -1.494E-04 -2.608E-10 -9.181E-03
    1.000E-02  9.500E+00  2.575E-04  9.937E-03 -3.536E-04  6.975E-03  6.420E-10  2.553E-04 -1.708E-02 -3.090E-04 -4.858E-10 -1.214E-02
    2.000E-02  9.500E+00  4.619E-04  1.244E-02 -5.930E-04  8.725E-03  1.569E-09  3.660E-04 -2.136E-02 -5.204E-04 -9.279E-10 -1.520E-02
    5.000E-02  9.500E+00  8.546E-04  1.466E-02 -1.033E-03  1.025E-02  4.409E-09  5.742E-04 -2.509E-02 -9.040E-04 -2.226E-09 -1.789E-02
    1.000E-01  9.500E+00  1.267E-03  1.459E-02 -1.491E-03  1.016E-02  9.035E-09  7.967E-04 -2.486E-02 -1.305E-03 -4.312E-09 -1.778E-02
    2.000E-01  9.500E+00  1.792E-03  1.304E-02 -2.074E-03  8.995E-03  1.780E-08  1.083E-03 -2.201E-02 -1.817E-03 -8.446E-09 -1.584E-02
    3.000E-01  9.500E+00  2.144E-03  1.173E-02 -2.464E-03  8.031E-03  2.609E-08  1.276E-03 -1.964E-02 -2.163E-03 -1.281E-08 -1.422E-02
    4.000E-01  9.500E+00  2.407E-03  1.076E-02 -2.754E-03  7.305E-03  3.397E-08  1.420E-03 -1.786E-02 -2.422E-03 -1.776E-08 -1.299E-02
    5.000E-01  9.500E+00  2.612E-03  1.000E-02 -2.979E-03  6.744E-03  4.150E-08  1.532E-03 -1.648E-02 -2.625E-03 -2.359E-08 -1.205E-02
    7.500E-01  9.500E+00  2.970E-03  8.705E-03 -3.367E-03  5.770E-03  6.012E-08  1.725E-03 -1.410E-02 -2.984E-03 -4.416E-08 -1.043E-02
    1.000E+00  9.500E+00  3.196E-03  7.873E-03 -3.607E-03  5.137E-03  7.980E-08  1.844E-03 -1.255E-02 -3.215E-03 -7.738E-08 -9.375E-03
    2.000E+00  9.500E+00  3.560E-03  6.258E-03 -3.959E-03  3.855E-03  2.010E-07  2.022E-03 -9.428E-03 -3.625E-03 -4.314E-07 -7.281E-03
    3.000E+00  9.500E+00  3.629E-03  5.610E-03 -3.978E-03  3.260E-03  4.535E-07  2.037E-03 -7.995E-03 -3.761E-03 -1.358E-06 -6.363E-03
    5.000E+00  9.500E+00  3.597E-03  5.190E-03 -3.825E-03  2.640E-03  1.606E-06  1.978E-03 -6.520E-03 -3.906E-03 -5.996E-06 -5.550E-03
    7.000E+00  9.500E+00  3.559E-03  5.245E-03 -3.655E-03  2.282E-03  3.900E-06  1.916E-03 -5.683E-03 -4.096E-03 -1.585E-05 -5.250E-03
    1.000E+01  9.500E+00  3.586E-03  5.743E-03 -3.458E-03  1.912E-03  9.781E-06  1.861E-03 -4.833E-03 -4.555E-03 -4.329E-05 -5.204E-03
    1.500E+01  9.500E+00  3.870E-03  7.217E-03 -3.255E-03  1.461E-03  2.546E-05  1.849E-03 -3.793E-03 -5.800E-03 -1.288E-04 -5.678E-03
    2.000E+01  9.500E+00  4.437E-03  9.289E-03 -3.131E-03  1.095E-03  4.491E-05  1.886E-03 -2.910E-03 -7.647E-03 -2.654E-04 -6.632E-03
    2.500E+01  9.500E+00  5.291E-03  1.191E-02 -3.027E-03  8.009E-04  6.167E-05  1.929E-03 -2.091E-03 -1.012E-02 -4.462E-04 -8.044E-03
    3.000E+01  9.500E+00  6.459E-03  1.514E-02 -2.908E-03  5.913E-04  6.862E-05  1.959E-03 -1.305E-03 -1.329E-02 -6.590E-04 -9.991E-03
    3.500E+01  9.500E+00  7.988E-03  1.911E-02 -2.753E-03  4.925E-04  5.869E-05  1.969E-03 -5.404E-04 -1.730E-02 -8.889E-04 -1.260E-02
    4.000E+01  9.500E+00  9.946E-03  2.400E-02 -2.545E-03  5.340E-04  2.543E-05  1.956E-03  2.015E-04 -2.234E-02 -1.121E-03 -1.605E-02
    4.500E+01  9.500E+00  1.242E-02  3.007E-02 -2.274E-03  7.478E-04 -3.660E-05  1.924E-03  9.182E-04 -2.867E-02 -1.340E-03 -2.056E-02
    5.000E+01  9.500E+00  1.555E-02  3.765E-02 -1.929E-03  1.168E-03 -1.316E-04  1.877E-03  1.605E-03 -3.665E-02 -1.533E-03 -2.645E-02
    5.500E+01  9.500E+00  1.947E-02  4.715E-02 -1.500E-03  1.828E-03 -2.624E-04  1.823E-03  2.257E-03 -4.671E-02 -1.688E-03 -3.406E-02
    6.000E+01  9.500E+00  2.437E-02  5.906E-02 -9.801E-04  2.757E-03 -4.295E-04  1.766E-03  2.867E-03 -5.938E-02 -1.796E-03 -4.383E-02
    6.500E+01  9.500E+00  3.044E-02  7.386E-02 -3.622E-04  3.974E-03 -6.309E-04  1.708E-03  3.425E-03 -7.518E-02 -1.850E-03 -5.615E-02
    7.000E+01  9.500E+00  3.778E-02  9.186E-02  3.520E-04  5.471E-03 -8.600E-04  1.647E-03  3.925E-03 -9.445E-02 -1.845E-03 -7.128E-02
    7.500E+01  9.500E+00  4.629E-02  1.128E-01  1.145E-03  7.189E-03 -1.104E-03  1.571E-03  4.356E-03 -1.170E-01 -1.779E-03 -8.901E-02
    8.000E+01  9.500E+00  5.544E-02  1.355E-01  1.972E-03  8.981E-03 -1.341E-03  1.457E-03  4.688E-03 -1.413E-01 -1.655E-03 -1.082E-01
    8.500E+01  9.500E+00  6.405E-02  1.569E-01  2.754E-03  1.063E-02 -1.546E-03  1.295E-03  4.936E-03 -1.645E-01 -1.479E-03 -1.264E-01
