      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
   5.0000000E-03  1.900E+01  3.258E-05  3.243E-04  2.008E-05  2.256E-04 -1.481E-10  2.368E-05 -5.523E-04  1.266E-05 -1.023E-10 -3.950E-04
   1.0000000E-02  1.900E+01  2.729E-05  4.291E-04 -3.746E-07  2.981E-04 -2.537E-10  3.330E-05 -7.300E-04 -4.863E-07 -4.973E-11 -5.225E-04
   2.0000000E-02  1.900E+01  3.401E-05  5.378E-04 -2.428E-05  3.728E-04 -4.556E-10  4.679E-05 -9.129E-04 -1.605E-05  8.381E-11 -6.544E-04
   5.0000000E-02  1.900E+01  5.645E-05  6.353E-04 -6.495E-05  4.375E-04 -1.036E-09  7.308E-05 -1.071E-03 -4.265E-05  5.372E-10 -7.713E-04
   1.0000000E-01  1.900E+01  8.278E-05  6.348E-04 -1.051E-04  4.325E-04 -1.956E-09  1.011E-04 -1.059E-03 -6.901E-05  1.317E-09 -7.680E-04
   2.0000000E-01  1.900E+01  1.172E-04  5.714E-04 -1.549E-04  3.814E-04 -3.668E-09  1.372E-04 -9.341E-04 -1.018E-04  2.828E-09 -6.865E-04
   3.0000000E-01  1.900E+01  1.404E-04  5.178E-04 -1.880E-04  3.391E-04 -5.239E-09  1.616E-04 -8.308E-04 -1.236E-04  4.248E-09 -6.181E-04
   4.0000000E-01  1.900E+01  1.577E-04  4.776E-04 -2.125E-04  3.071E-04 -6.684E-09  1.797E-04 -7.530E-04 -1.397E-04  5.571E-09 -5.666E-04
   5.0000000E-01  1.900E+01  1.711E-04  4.468E-04 -2.315E-04  2.823E-04 -8.023E-09  1.938E-04 -6.928E-04 -1.523E-04  6.808E-09 -5.267E-04
   7.5000000E-01  1.900E+01  1.944E-04  3.940E-04 -2.645E-04  2.389E-04 -1.096E-08  2.181E-04 -5.886E-04 -1.742E-04  9.567E-09 -4.577E-04
   1.0000000E+00  1.900E+01  2.089E-04  3.605E-04 -2.851E-04  2.103E-04 -1.343E-08  2.331E-04 -5.209E-04 -1.880E-04  1.194E-08 -4.128E-04
   2.0000000E+00  1.900E+01  2.310E-04  2.982E-04 -3.171E-04  1.494E-04 -2.025E-08  2.545E-04 -3.849E-04 -2.102E-04  1.888E-08 -3.214E-04
   3.0000000E+00  1.900E+01  2.333E-04  2.773E-04 -3.211E-04  1.173E-04 -2.413E-08  2.547E-04 -3.230E-04 -2.141E-04  2.355E-08 -2.787E-04
   5.0000000E+00  1.900E+01  2.265E-04  2.759E-04 -3.124E-04  7.451E-05 -2.716E-08  2.422E-04 -2.601E-04 -2.117E-04  2.976E-08 -2.349E-04
   7.0000000E+00  1.900E+01  2.189E-04  2.987E-04 -3.016E-04  3.912E-05 -2.601E-08  2.277E-04 -2.252E-04 -2.094E-04  3.366E-08 -2.109E-04
   1.0000000E+01  1.900E+01  2.119E-04  3.571E-04 -2.897E-04 -1.351E-05 -1.808E-08  2.081E-04 -1.912E-04 -2.119E-04  3.633E-08 -1.889E-04
   1.5000000E+01  1.900E+01  2.123E-04  4.932E-04 -2.806E-04 -1.062E-04  1.023E-08  1.818E-04 -1.532E-04 -2.364E-04  3.138E-08 -1.676E-04
   2.0000000E+01  1.900E+01  2.246E-04  6.633E-04 -2.796E-04 -2.077E-04  5.599E-08  1.595E-04 -1.251E-04 -2.861E-04  1.088E-08 -1.570E-04
   2.5000000E+01  1.900E+01  2.470E-04  8.561E-04 -2.828E-04 -3.124E-04  1.164E-07  1.374E-04 -1.027E-04 -3.593E-04 -3.166E-08 -1.565E-04
   3.0000000E+01  1.900E+01  2.786E-04  1.068E-03 -2.881E-04 -4.172E-04  1.877E-07  1.139E-04 -8.394E-05 -4.557E-04 -1.059E-07 -1.681E-04
   3.5000000E+01  1.900E+01  3.190E-04  1.298E-03 -2.940E-04 -5.177E-04  2.655E-07  8.862E-05 -6.738E-05 -5.757E-04 -2.263E-07 -1.953E-04
   4.0000000E+01  1.900E+01  3.681E-04  1.546E-03 -2.999E-04 -6.115E-04  3.444E-07  6.129E-05 -5.266E-05 -7.191E-04 -4.134E-07 -2.414E-04
   4.5000000E+01  1.900E+01  4.258E-04  1.815E-03 -3.051E-04 -6.960E-04  4.184E-07  3.200E-05 -3.942E-05 -8.865E-04 -6.941E-07 -3.104E-04
   5.0000000E+01  1.900E+01  4.921E-04  2.106E-03 -3.092E-04 -7.695E-04  4.799E-07  1.106E-06 -2.745E-05 -1.079E-03 -1.102E-06 -4.063E-04
   5.5000000E+01  1.900E+01  5.671E-04  2.426E-03 -3.117E-04 -8.307E-04  5.187E-07 -3.094E-05 -1.667E-05 -1.297E-03 -1.677E-06 -5.341E-04
   6.0000000E+01  1.900E+01  6.501E-04  2.779E-03 -3.115E-04 -8.783E-04  5.212E-07 -6.362E-05 -7.061E-06 -1.543E-03 -2.462E-06 -6.991E-04
   6.5000000E+01  1.900E+01  7.380E-04  3.174E-03 -3.051E-04 -9.114E-04  4.693E-07 -9.629E-05  1.371E-06 -1.816E-03 -3.506E-06 -9.076E-04
   7.0000000E+01  1.900E+01  8.080E-04  3.618E-03 -2.645E-04 -9.291E-04  3.425E-07 -1.272E-04  8.663E-06 -2.085E-03 -4.862E-06 -1.167E-03
   7.5000000E+01  1.900E+01  1.184E-03  4.121E-03 -4.141E-04 -9.306E-04  8.101E-08 -1.662E-04  1.488E-05 -2.643E-03 -6.548E-06 -1.485E-03
   8.0000000E+01  1.900E+01  1.198E-03  4.697E-03 -3.553E-04 -9.146E-04 -3.003E-07 -1.943E-04  2.039E-05 -2.989E-03 -8.675E-06 -1.874E-03
   8.5000000E+01  1.900E+01  1.341E-03  5.360E-03 -3.418E-04 -8.800E-04 -8.822E-07 -2.228E-04  2.472E-05 -3.457E-03 -1.125E-05 -2.344E-03
   9.0000000E+01  1.900E+01  1.518E-03  6.126E-03 -3.320E-04 -8.256E-04 -1.718E-06 -2.497E-04  2.816E-05 -4.006E-03 -1.432E-05 -2.911E-03
   1.0000000E+02  1.900E+01  1.960E-03  8.052E-03 -3.084E-04 -6.479E-04 -4.443E-06 -2.947E-04  3.321E-05 -5.389E-03 -2.204E-05 -4.407E-03
   1.0500000E+02  1.900E+01  2.235E-03  9.267E-03 -2.919E-04 -5.226E-04 -6.510E-06 -3.126E-04  3.531E-05 -6.260E-03 -2.674E-05 -5.383E-03
   1.1000000E+02  1.900E+01  2.552E-03  1.069E-02 -2.710E-04 -3.692E-04 -9.185E-06 -3.265E-04  3.787E-05 -7.283E-03 -3.199E-05 -6.548E-03
   1.1500000E+02  1.900E+01  2.922E-03  1.238E-02 -2.450E-04 -1.850E-04 -1.258E-05 -3.359E-04  4.113E-05 -8.487E-03 -3.779E-05 -7.938E-03
   1.2000000E+02  1.900E+01  3.352E-03  1.436E-02 -2.129E-04  3.473E-05 -1.683E-05 -3.403E-04  4.163E-05 -9.908E-03 -4.410E-05 -9.598E-03
   1.2500000E+02  1.900E+01  3.855E-03  1.670E-02 -1.739E-04  2.903E-04 -2.207E-05 -3.390E-04  4.752E-05 -1.159E-02 -5.089E-05 -1.157E-02
   1.3000000E+02  1.900E+01  4.443E-03  1.946E-02 -1.269E-04  5.862E-04 -2.843E-05 -3.316E-04  5.557E-05 -1.357E-02 -5.808E-05 -1.391E-02
   1.3500000E+02  1.900E+01  5.130E-03  2.270E-02 -7.105E-05  9.254E-04 -3.603E-05 -3.177E-04  6.634E-05 -1.591E-02 -6.557E-05 -1.667E-02
   1.4000000E+02  1.900E+01  5.930E-03  2.650E-02 -5.718E-06  1.309E-03 -4.497E-05 -2.970E-04  8.059E-05 -1.865E-02 -7.325E-05 -1.991E-02
   1.4500000E+02  1.900E+01  6.852E-03  3.090E-02  6.955E-05  1.738E-03 -5.528E-05 -2.695E-04  9.934E-05 -2.183E-02 -8.096E-05 -2.367E-02
   1.5000000E+02  1.900E+01  7.902E-03  3.592E-02  1.546E-04  2.208E-03 -6.690E-05 -2.354E-04  1.237E-04 -2.548E-02 -8.853E-05 -2.797E-02
   1.5500000E+02  1.900E+01  9.070E-03  4.153E-02  2.485E-04  2.710E-03 -7.962E-05 -1.954E-04  1.547E-04 -2.956E-02 -9.570E-05 -3.278E-02
