      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
   5.0000000E-03  1.200E+01  5.626E-05  3.775E-03 -5.582E-05  2.649E-03 -6.602E-12  9.770E-05 -6.488E-03 -4.784E-05 -1.786E-10 -4.612E-03
   1.0000000E-02  1.200E+01  1.046E-04  4.993E-03 -1.463E-04  3.503E-03  2.036E-10  1.389E-04 -8.577E-03 -1.235E-04 -2.511E-10 -6.099E-03
   2.0000000E-02  1.200E+01  1.877E-04  6.252E-03 -2.626E-04  4.382E-03  6.601E-10  1.965E-04 -1.073E-02 -2.207E-04 -3.733E-10 -7.635E-03
   5.0000000E-02  1.200E+01  3.539E-04  7.368E-03 -4.754E-04  5.148E-03  2.098E-09  3.093E-04 -1.261E-02 -4.002E-04 -6.990E-10 -8.988E-03
   1.0000000E-01  1.200E+01  5.293E-04  7.335E-03 -6.950E-04  5.100E-03  4.463E-09  4.288E-04 -1.249E-02 -5.849E-04 -1.173E-09 -8.933E-03
   2.0000000E-01  1.200E+01  7.523E-04  6.555E-03 -9.733E-04  4.516E-03  8.953E-09  5.824E-04 -1.105E-02 -8.198E-04 -2.011E-09 -7.958E-03
   3.0000000E-01  1.200E+01  9.020E-04  5.901E-03 -1.160E-03  4.031E-03  1.313E-08  6.860E-04 -9.865E-03 -9.781E-04 -2.758E-09 -7.144E-03
   4.0000000E-01  1.200E+01  1.013E-03  5.410E-03 -1.298E-03  3.665E-03  1.693E-08  7.628E-04 -8.969E-03 -1.096E-03 -3.392E-09 -6.530E-03
   5.0000000E-01  1.200E+01  1.100E-03  5.031E-03 -1.405E-03  3.382E-03  2.049E-08  8.225E-04 -8.276E-03 -1.189E-03 -3.964E-09 -6.056E-03
   7.5000000E-01  1.200E+01  1.251E-03  4.379E-03 -1.591E-03  2.890E-03  2.820E-08  9.251E-04 -7.076E-03 -1.351E-03 -5.075E-09 -5.237E-03
   1.0000000E+00  1.200E+01  1.346E-03  3.960E-03 -1.706E-03  2.569E-03  3.463E-08  9.879E-04 -6.297E-03 -1.454E-03 -5.793E-09 -4.706E-03
   2.0000000E+00  1.200E+01  1.496E-03  3.146E-03 -1.876E-03  1.913E-03  5.201E-08  1.076E-03 -4.723E-03 -1.629E-03 -6.310E-09 -3.641E-03
   3.0000000E+00  1.200E+01  1.520E-03  2.817E-03 -1.889E-03  1.600E-03  6.217E-08  1.075E-03 -4.001E-03 -1.676E-03 -4.221E-09 -3.165E-03
   5.0000000E+00  1.200E+01  1.496E-03  2.599E-03 -1.821E-03  1.254E-03  7.582E-08  1.019E-03 -3.259E-03 -1.705E-03  3.402E-09 -2.719E-03
   7.0000000E+00  1.200E+01  1.468E-03  2.618E-03 -1.744E-03  1.032E-03  8.981E-08  9.572E-04 -2.844E-03 -1.747E-03  1.239E-08 -2.524E-03
   1.0000000E+01  1.200E+01  1.460E-03  2.853E-03 -1.657E-03  7.698E-04  1.210E-07  8.749E-04 -2.435E-03 -1.875E-03  2.326E-08 -2.418E-03
   1.5000000E+01  1.200E+01  1.538E-03  3.543E-03 -1.574E-03  3.907E-04  2.102E-07  7.649E-04 -1.970E-03 -2.278E-03  1.843E-08 -2.475E-03
   2.0000000E+01  1.200E+01  1.721E-03  4.482E-03 -1.532E-03  3.039E-05  3.453E-07  6.679E-04 -1.614E-03 -2.912E-03 -5.041E-08 -2.710E-03
   2.5000000E+01  1.200E+01  2.001E-03  5.616E-03 -1.506E-03 -3.050E-04  5.087E-07  5.661E-04 -1.312E-03 -3.771E-03 -2.493E-07 -3.102E-03
   3.0000000E+01  1.200E+01  2.381E-03  6.945E-03 -1.480E-03 -6.025E-04  6.662E-07  4.534E-04 -1.042E-03 -4.865E-03 -6.841E-07 -3.670E-03
   3.5000000E+01  1.200E+01  2.867E-03  8.492E-03 -1.445E-03 -8.434E-04  7.588E-07  3.298E-04 -7.924E-04 -6.214E-03 -1.508E-06 -4.450E-03
   4.0000000E+01  1.200E+01  3.470E-03  1.030E-02 -1.394E-03 -1.012E-03  6.935E-07  1.967E-04 -5.595E-04 -7.848E-03 -2.924E-06 -5.488E-03
   4.5000000E+01  1.200E+01  4.204E-03  1.242E-02 -1.325E-03 -1.095E-03  3.293E-07  5.860E-05 -3.409E-04 -9.813E-03 -5.176E-06 -6.846E-03
   5.0000000E+01  1.200E+01  5.087E-03  1.494E-02 -1.235E-03 -1.077E-03 -5.358E-07 -7.871E-05 -1.360E-04 -1.217E-02 -8.543E-06 -8.597E-03
   5.5000000E+01  1.200E+01  6.145E-03  1.797E-02 -1.122E-03 -9.457E-04 -2.186E-06 -2.087E-04  5.504E-05 -1.501E-02 -1.332E-05 -1.084E-02
   6.0000000E+01  1.200E+01  7.407E-03  2.164E-02 -9.812E-04 -6.887E-04 -5.005E-06 -3.248E-04  2.314E-04 -1.844E-02 -1.978E-05 -1.368E-02
   6.5000000E+01  1.200E+01  8.895E-03  2.610E-02 -8.069E-04 -2.927E-04 -9.493E-06 -4.209E-04  3.927E-04 -2.260E-02 -2.820E-05 -1.727E-02
   7.0000000E+01  1.200E+01  1.048E-02  3.158E-02 -5.615E-04  2.554E-04 -1.626E-05 -4.950E-04  5.398E-04 -2.756E-02 -3.878E-05 -2.178E-02
   7.5000000E+01  1.200E+01  1.396E-02  3.830E-02 -5.242E-04  9.674E-04 -2.603E-05 -5.021E-04  6.741E-04 -3.446E-02 -5.161E-05 -2.741E-02
   8.0000000E+01  1.200E+01  1.619E-02  4.653E-02 -1.866E-04  1.852E-03 -3.954E-05 -5.077E-04  7.945E-04 -4.193E-02 -6.672E-05 -3.439E-02
   8.5000000E+01  1.200E+01  1.940E-02  5.654E-02  1.288E-04  2.916E-03 -5.751E-05 -4.607E-04  9.127E-04 -5.126E-02 -8.388E-05 -4.294E-02
   9.0000000E+01  1.200E+01  2.327E-02  6.850E-02  4.758E-04  4.149E-03 -8.044E-05 -3.722E-04  1.029E-03 -6.244E-02 -1.027E-04 -5.319E-02
   1.0000000E+02  1.200E+01  3.262E-02  9.759E-02  1.252E-03  6.960E-03 -1.402E-04 -9.057E-05  1.279E-03 -8.976E-02 -1.416E-04 -7.818E-02
   1.0500000E+02  1.200E+01  3.754E-02  1.130E-01  1.642E-03  8.339E-03 -1.740E-04  6.813E-05  1.422E-03 -1.043E-01 -1.590E-04 -9.144E-02
   1.1000000E+02  1.200E+01  4.186E-02  1.267E-01  1.985E-03  9.500E-03 -2.061E-04  2.123E-04  1.577E-03 -1.172E-01 -1.728E-04 -1.032E-01
   1.1500000E+02  1.200E+01  4.479E-02  1.363E-01  2.235E-03  1.027E-02 -2.324E-04  3.203E-04  1.734E-03 -1.263E-01 -1.813E-04 -1.113E-01
   1.2000000E+02  1.200E+01  4.571E-02  1.397E-01  2.359E-03  1.053E-02 -2.492E-04  3.780E-04  1.857E-03 -1.295E-01 -1.833E-04 -1.142E-01
   1.2500000E+02  1.200E+01  4.445E-02  1.364E-01  2.346E-03  1.024E-02 -2.548E-04  3.836E-04  1.964E-03 -1.264E-01 -1.790E-04 -1.113E-01
   1.3000000E+02  1.200E+01  4.135E-02  1.275E-01  2.219E-03  9.517E-03 -2.496E-04  3.474E-04  2.023E-03 -1.179E-01 -1.693E-04 -1.035E-01
   1.3500000E+02  1.200E+01  3.710E-02  1.149E-01  2.017E-03  8.514E-03 -2.361E-04  2.859E-04  2.030E-03 -1.060E-01 -1.561E-04 -9.264E-02
   1.4000000E+02  1.200E+01  3.243E-02  1.009E-01  1.782E-03  7.399E-03 -2.174E-04  2.159E-04  1.992E-03 -9.268E-02 -1.409E-04 -8.055E-02
   1.4500000E+02  1.200E+01  2.786E-02  8.713E-02  1.546E-03  6.296E-03 -1.963E-04  1.497E-04  1.918E-03 -7.960E-02 -1.254E-04 -6.867E-02
   1.5000000E+02  1.200E+01  2.370E-02  7.456E-02  1.326E-03  5.280E-03 -1.749E-04  9.421E-05  1.821E-03 -6.765E-02 -1.105E-04 -5.781E-02
   1.5500000E+02  1.200E+01  2.008E-02  6.358E-02  1.131E-03  4.384E-03 -1.545E-04  5.219E-05  1.711E-03 -5.720E-02 -9.677E-05 -4.833E-02
   1.6000000E+02  1.200E+01  1.702E-02  5.424E-02  9.625E-04  3.615E-03 -1.358E-04  2.359E-05  1.594E-03 -4.830E-02 -8.441E-05 -4.026E-02
   1.7000000E+02  1.200E+01  1.232E-02  3.994E-02  6.999E-04  2.420E-03 -1.043E-04  2.656E-07  1.364E-03 -3.462E-02 -6.397E-05 -2.789E-02
   1.8000000E+02  1.200E+01  9.092E-03  3.011E-02  5.148E-04  1.591E-03 -8.023E-05  8.984E-06  1.153E-03 -2.516E-02 -4.861E-05 -1.937E-02
   1.9000000E+02  1.200E+01  6.859E-03  2.336E-02  3.841E-04  1.017E-03 -6.221E-05  3.652E-05  9.701E-04 -1.859E-02 -3.727E-05 -1.350E-02
   2.0000000E+02  1.200E+01  5.289E-03  1.867E-02  2.906E-04  6.165E-04 -4.871E-05  7.382E-05  8.170E-04 -1.396E-02 -2.890E-05 -9.391E-03
