      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  7.000E+00  5.042E-04  2.304E-02 -5.294E-04  1.621E-02  8.365E-10  2.998E-04 -3.971E-02 -5.756E-04 -3.746E-10 -2.817E-02
    1.000E-02  7.000E+00  9.168E-04  3.047E-02 -8.609E-04  2.144E-02  1.968E-09  4.264E-04 -5.250E-02 -9.310E-04 -7.178E-10 -3.725E-02
    2.000E-02  7.000E+00  1.485E-03  3.815E-02 -1.308E-03  2.682E-02  4.262E-09  6.031E-04 -6.569E-02 -1.411E-03 -1.394E-09 -4.663E-02
    5.000E-02  7.000E+00  2.559E-03  4.493E-02 -2.154E-03  3.153E-02  1.118E-08  9.495E-04 -7.720E-02 -2.330E-03 -3.367E-09 -5.489E-02
    1.000E-01  7.000E+00  3.686E-03  4.468E-02 -3.044E-03  3.125E-02  2.229E-08  1.316E-03 -7.653E-02 -3.295E-03 -6.498E-09 -5.452E-02
    2.000E-01  7.000E+00  5.126E-03  3.986E-02 -4.180E-03  2.771E-02  4.345E-08  1.787E-03 -6.785E-02 -4.536E-03 -1.239E-08 -4.854E-02
    3.000E-01  7.000E+00  6.099E-03  3.582E-02 -4.942E-03  2.477E-02  6.250E-08  2.104E-03 -6.063E-02 -5.379E-03 -1.764E-08 -4.354E-02
    4.000E-01  7.000E+00  6.824E-03  3.279E-02 -5.506E-03  2.255E-02  8.044E-08  2.339E-03 -5.519E-02 -6.012E-03 -2.248E-08 -3.978E-02
    5.000E-01  7.000E+00  7.392E-03  3.045E-02 -5.943E-03  2.083E-02  9.699E-08  2.521E-03 -5.099E-02 -6.510E-03 -2.680E-08 -3.688E-02
    7.500E-01  7.000E+00  8.386E-03  2.643E-02 -6.692E-03  1.786E-02  1.328E-07  2.834E-03 -4.371E-02 -7.393E-03 -3.603E-08 -3.186E-02
    1.000E+00  7.000E+00  9.017E-03  2.384E-02 -7.148E-03  1.593E-02  1.631E-07  3.025E-03 -3.898E-02 -7.968E-03 -4.341E-08 -2.862E-02
    2.000E+00  7.000E+00  1.006E-02  1.880E-02 -7.782E-03  1.202E-02  2.452E-07  3.295E-03 -2.942E-02 -9.036E-03 -5.957E-08 -2.218E-02
    3.000E+00  7.000E+00  1.030E-02  1.675E-02 -7.770E-03  1.022E-02  2.936E-07  3.299E-03 -2.501E-02 -9.464E-03 -6.258E-08 -1.938E-02
    5.000E+00  7.000E+00  1.031E-02  1.534E-02 -7.385E-03  8.370E-03  3.525E-07  3.165E-03 -2.044E-02 -1.009E-02 -4.733E-08 -1.693E-02
    7.000E+00  7.000E+00  1.034E-02  1.535E-02 -6.981E-03  7.336E-03  4.010E-07  3.030E-03 -1.781E-02 -1.092E-02 -1.838E-08 -1.607E-02
    1.000E+01  7.000E+00  1.069E-02  1.662E-02 -6.497E-03  6.319E-03  4.927E-07  2.878E-03 -1.515E-02 -1.277E-02  2.401E-08 -1.605E-02
    1.500E+01  7.000E+00  1.213E-02  2.067E-02 -5.907E-03  5.197E-03  7.123E-07  2.703E-03 -1.197E-02 -1.758E-02 -2.797E-08 -1.781E-02
    2.000E+01  7.000E+00  1.473E-02  2.662E-02 -5.377E-03  4.430E-03  8.941E-07  2.513E-03 -9.399E-03 -2.472E-02 -5.828E-07 -2.126E-02
    2.500E+01  7.000E+00  1.862E-02  3.451E-02 -4.750E-03  3.998E-03  6.098E-07  2.243E-03 -7.139E-03 -3.451E-02 -2.327E-06 -2.648E-02
    3.000E+01  7.000E+00  2.404E-02  4.479E-02 -3.932E-03  3.963E-03 -1.066E-06  1.891E-03 -5.069E-03 -4.755E-02 -6.290E-06 -3.391E-02
    3.500E+01  7.000E+00  3.137E-02  5.817E-02 -2.873E-03  4.416E-03 -5.826E-06  1.486E-03 -3.149E-03 -6.469E-02 -1.378E-05 -4.420E-02
    4.000E+01  7.000E+00  4.102E-02  7.555E-02 -1.550E-03  5.432E-03 -1.631E-05  1.070E-03 -1.372E-03 -8.705E-02 -2.618E-05 -5.814E-02
    4.500E+01  7.000E+00  5.346E-02  9.790E-02  2.884E-05  7.056E-03 -3.593E-05  6.982E-04  2.622E-04 -1.158E-01 -4.458E-05 -7.657E-02
    5.000E+01  7.000E+00  6.888E-02  1.258E-01  1.814E-03  9.260E-03 -6.813E-05  4.156E-04  1.745E-03 -1.517E-01 -6.923E-05 -9.993E-02
    5.500E+01  7.000E+00  8.672E-02  1.583E-01  3.694E-03  1.187E-02 -1.145E-04  2.379E-04  3.063E-03 -1.935E-01 -9.888E-05 -1.274E-01
    6.000E+01  7.000E+00  1.048E-01  1.916E-01  5.461E-03  1.447E-02 -1.718E-04  1.361E-04  4.185E-03 -2.364E-01 -1.301E-04 -1.557E-01
    6.500E+01  7.000E+00  1.189E-01  2.184E-01  6.820E-03  1.646E-02 -2.300E-04  4.245E-05  5.067E-03 -2.709E-01 -1.573E-04 -1.784E-01
    7.000E+01  7.000E+00  1.240E-01  2.300E-01  7.490E-03  1.721E-02 -2.747E-04 -1.244E-04  5.654E-03 -2.857E-01 -1.745E-04 -1.880E-01
    7.500E+01  7.000E+00  1.220E-01  2.225E-01  7.380E-03  1.650E-02 -2.949E-04 -2.606E-04  5.909E-03 -2.774E-01 -1.785E-04 -1.814E-01
    8.000E+01  7.000E+00  1.080E-01  2.000E-01  6.710E-03  1.468E-02 -2.893E-04 -5.664E-04  5.827E-03 -2.484E-01 -1.703E-04 -1.619E-01
    8.500E+01  7.000E+00  9.123E-02  1.705E-01  5.761E-03  1.237E-02 -2.656E-04 -8.157E-04  5.539E-03 -2.106E-01 -1.543E-04 -1.364E-01
    9.000E+01  7.000E+00  7.467E-02  1.408E-01  4.786E-03  1.005E-02 -2.333E-04 -1.013E-03  5.105E-03 -1.727E-01 -1.349E-04 -1.109E-01
    1.000E+02  7.000E+00  4.837E-02  9.311E-02  3.188E-03  6.302E-03 -1.678E-04 -1.198E-03  4.106E-03 -1.117E-01 -9.772E-05 -6.983E-02
    1.050E+02  7.000E+00  3.898E-02  7.592E-02  2.602E-03  4.927E-03 -1.403E-04 -1.213E-03  3.629E-03 -8.972E-02 -8.220E-05 -5.504E-02
    1.100E+02  7.000E+00  3.163E-02  6.239E-02  2.136E-03  3.840E-03 -1.171E-04 -1.189E-03  3.195E-03 -7.238E-02 -6.902E-05 -4.342E-02
    1.150E+02  7.000E+00  2.589E-02  5.180E-02  1.766E-03  2.987E-03 -9.777E-05 -1.139E-03  2.807E-03 -5.878E-02 -5.797E-05 -3.433E-02
    1.200E+02  7.000E+00  2.139E-02  4.350E-02  1.472E-03  2.323E-03 -8.187E-05 -1.071E-03  2.454E-03 -4.807E-02 -4.878E-05 -2.721E-02
    1.250E+02  7.000E+00  1.784E-02  3.695E-02  1.236E-03  1.800E-03 -6.883E-05 -9.926E-04  2.155E-03 -3.960E-02 -4.117E-05 -2.160E-02
    1.300E+02  7.000E+00  1.502E-02  3.175E-02  1.046E-03  1.391E-03 -5.813E-05 -9.087E-04  1.894E-03 -3.285E-02 -3.487E-05 -1.716E-02
    1.350E+02  7.000E+00  1.276E-02  2.760E-02  8.916E-04  1.070E-03 -4.933E-05 -8.228E-04  1.666E-03 -2.743E-02 -2.966E-05 -1.361E-02
    1.400E+02  7.000E+00  1.093E-02  2.427E-02  7.651E-04  8.184E-04 -4.208E-05 -7.372E-04  1.467E-03 -2.304E-02 -2.534E-05 -1.076E-02
    1.450E+02  7.000E+00  9.433E-03  2.157E-02  6.606E-04  6.204E-04 -3.606E-05 -6.533E-04  1.294E-03 -1.946E-02 -2.175E-05 -8.456E-03
    1.500E+02  7.000E+00  8.204E-03  1.937E-02  5.735E-04  4.646E-04 -3.105E-05 -5.723E-04  1.144E-03 -1.652E-02 -1.874E-05 -6.572E-03
    1.550E+02  7.000E+00  7.183E-03  1.757E-02  5.004E-04  3.420E-04 -2.684E-05 -4.947E-04  1.013E-03 -1.409E-02 -1.622E-05 -5.023E-03
    1.600E+02  7.000E+00  6.330E-03  1.609E-02  4.386E-04  2.455E-04 -2.331E-05 -4.207E-04  8.987E-04 -1.206E-02 -1.409E-05 -3.739E-03
    1.700E+02  7.000E+00  5.003E-03  1.388E-02  3.410E-04  1.098E-04 -1.777E-05 -2.844E-04  7.107E-04 -8.931E-03 -1.075E-05 -1.762E-03
    1.800E+02  7.000E+00  4.036E-03  1.237E-02  2.686E-04  2.572E-05 -1.376E-05 -1.628E-04  5.642E-04 -6.683E-03 -8.338E-06 -3.365E-04
    1.900E+02  7.000E+00  3.316E-03  1.136E-02  2.138E-04 -2.759E-05 -1.082E-05 -5.469E-05  4.475E-04 -5.035E-03 -6.581E-06  7.304E-04
    2.000E+02  7.000E+00  2.768E-03  1.071E-02  1.715E-04 -6.416E-05 -8.624E-06  4.167E-05  3.520E-04 -3.807E-03 -5.285E-06  1.560E-03
