      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  4.000E+00  3.187E-03  7.627E-02 -1.601E-03  5.374E-02  1.816E-09  5.652E-04 -1.316E-01 -2.286E-03 -3.961E-10 -9.330E-02
    1.000E-02  4.000E+00  4.966E-03  1.009E-01 -2.383E-03  7.105E-02  3.846E-09  8.027E-04 -1.740E-01 -3.387E-03 -7.862E-10 -1.234E-01
    2.000E-02  4.000E+00  7.403E-03  1.263E-01 -3.459E-03  8.891E-02  7.911E-09  1.135E-03 -2.178E-01 -4.905E-03 -1.556E-09 -1.544E-01
    5.000E-02  4.000E+00  1.205E-02  1.487E-01 -5.519E-03  1.045E-01  1.989E-08  1.784E-03 -2.560E-01 -7.858E-03 -3.783E-09 -1.817E-01
    1.000E-01  4.000E+00  1.698E-02  1.478E-01 -7.701E-03  1.037E-01  3.938E-08  2.472E-03 -2.539E-01 -1.099E-02 -7.382E-09 -1.805E-01
    2.000E-01  4.000E+00  2.332E-02  1.318E-01 -1.048E-02  9.199E-02  7.593E-08  3.355E-03 -2.253E-01 -1.505E-02 -1.395E-08 -1.607E-01
    3.000E-01  4.000E+00  2.762E-02  1.184E-01 -1.234E-02  8.228E-02  1.095E-07  3.950E-03 -2.014E-01 -1.782E-02 -1.983E-08 -1.441E-01
    4.000E-01  4.000E+00  3.084E-02  1.083E-01 -1.371E-02  7.496E-02  1.409E-07  4.391E-03 -1.835E-01 -1.993E-02 -2.525E-08 -1.317E-01
    5.000E-01  4.000E+00  3.337E-02  1.005E-01 -1.476E-02  6.931E-02  1.695E-07  4.734E-03 -1.696E-01 -2.160E-02 -2.987E-08 -1.221E-01
    7.500E-01  4.000E+00  3.782E-02  8.720E-02 -1.653E-02  5.952E-02  2.323E-07  5.325E-03 -1.456E-01 -2.462E-02 -3.962E-08 -1.055E-01
    1.000E+00  4.000E+00  4.067E-02  7.866E-02 -1.758E-02  5.317E-02  2.844E-07  5.691E-03 -1.300E-01 -2.667E-02 -4.637E-08 -9.482E-02
    2.000E+00  4.000E+00  4.563E-02  6.221E-02 -1.883E-02  4.038E-02  4.282E-07  6.271E-03 -9.831E-02 -3.108E-02 -5.369E-08 -7.383E-02
    3.000E+00  4.000E+00  4.711E-02  5.579E-02 -1.852E-02  3.456E-02  5.139E-07  6.408E-03 -8.352E-02 -3.375E-02 -4.161E-08 -6.499E-02
    5.000E+00  4.000E+00  4.840E-02  5.206E-02 -1.709E-02  2.879E-02  6.219E-07  6.539E-03 -6.773E-02 -3.924E-02  1.469E-08 -5.805E-02
    7.000E+00  4.000E+00  5.023E-02  5.345E-02 -1.564E-02  2.579E-02  7.186E-07  6.761E-03 -5.818E-02 -4.663E-02  7.858E-08 -5.678E-02
    1.000E+01  4.000E+00  5.541E-02  6.049E-02 -1.365E-02  2.322E-02  8.738E-07  7.220E-03 -4.778E-02 -6.220E-02  9.470E-08 -5.994E-02
    1.500E+01  4.000E+00  7.196E-02  8.175E-02 -1.015E-02  2.119E-02  5.976E-07  7.822E-03 -3.418E-02 -1.018E-01 -8.745E-07 -7.414E-02
    2.000E+01  4.000E+00  1.004E-01  1.148E-01 -5.524E-03  2.065E-02 -3.553E-06  7.628E-03 -2.247E-02 -1.618E-01 -5.499E-06 -9.890E-02
    2.500E+01  4.000E+00  1.424E-01  1.610E-01  5.953E-04  2.125E-02 -1.944E-05  6.402E-03 -1.195E-02 -2.454E-01 -1.747E-05 -1.352E-01
    3.000E+01  4.000E+00  1.953E-01  2.174E-01  7.688E-03  2.253E-02 -5.676E-05  4.235E-03 -2.739E-03 -3.478E-01 -3.910E-05 -1.805E-01
    3.500E+01  4.000E+00  2.448E-01  2.696E-01  1.417E-02  2.344E-02 -1.155E-04  1.460E-03  4.590E-03 -4.435E-01 -6.736E-05 -2.226E-01
    4.000E+01  4.000E+00  2.669E-01  2.928E-01  1.792E-02  2.256E-02 -1.742E-04 -1.355E-03  9.344E-03 -4.884E-01 -9.206E-05 -2.403E-01
