      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  3.500E+00  4.459E-03  9.429E-02 -1.893E-03  6.645E-02  1.962E-09  6.143E-04 -1.628E-01 -2.899E-03 -3.523E-10 -1.154E-01
    1.000E-02  3.500E+00  6.816E-03  1.247E-01 -2.790E-03  8.786E-02  4.121E-09  8.723E-04 -2.152E-01 -4.254E-03 -6.852E-10 -1.525E-01
    2.000E-02  3.500E+00  1.005E-02  1.561E-01 -4.029E-03  1.099E-01  8.444E-09  1.233E-03 -2.693E-01 -6.128E-03 -1.365E-09 -1.909E-01
    5.000E-02  3.500E+00  1.624E-02  1.838E-01 -6.403E-03  1.293E-01  2.122E-08  1.938E-03 -3.166E-01 -9.782E-03 -3.346E-09 -2.247E-01
    1.000E-01  3.500E+00  2.281E-02  1.827E-01 -8.918E-03  1.282E-01  4.167E-08  2.685E-03 -3.140E-01 -1.366E-02 -6.506E-09 -2.232E-01
    2.000E-01  3.500E+00  3.127E-02  1.629E-01 -1.212E-02  1.138E-01  8.034E-08  3.645E-03 -2.786E-01 -1.870E-02 -1.223E-08 -1.987E-01
    3.000E-01  3.500E+00  3.702E-02  1.463E-01 -1.426E-02  1.018E-01  1.168E-07  4.291E-03 -2.492E-01 -2.216E-02 -1.769E-08 -1.782E-01
    4.000E-01  3.500E+00  4.132E-02  1.338E-01 -1.583E-02  9.274E-02  1.488E-07  4.771E-03 -2.270E-01 -2.478E-02 -2.182E-08 -1.628E-01
    5.000E-01  3.500E+00  4.471E-02  1.242E-01 -1.703E-02  8.575E-02  1.801E-07  5.145E-03 -2.099E-01 -2.688E-02 -2.628E-08 -1.509E-01
    7.500E-01  3.500E+00  5.067E-02  1.078E-01 -1.905E-02  7.366E-02  2.463E-07  5.791E-03 -1.802E-01 -3.069E-02 -3.443E-08 -1.304E-01
    1.000E+00  3.500E+00  5.450E-02  9.722E-02 -2.022E-02  6.581E-02  3.021E-07  6.196E-03 -1.609E-01 -3.331E-02 -3.992E-08 -1.173E-01
    2.000E+00  3.500E+00  6.124E-02  7.700E-02 -2.154E-02  5.002E-02  4.531E-07  6.874E-03 -1.216E-01 -3.923E-02 -4.376E-08 -9.140E-02
    3.000E+00  3.500E+00  6.340E-02  6.922E-02 -2.106E-02  4.283E-02  5.447E-07  7.099E-03 -1.032E-01 -4.315E-02 -2.844E-08 -8.063E-02
    5.000E+00  3.500E+00  6.567E-02  6.510E-02 -1.921E-02  3.571E-02  6.627E-07  7.450E-03 -8.328E-02 -5.169E-02  3.469E-08 -7.248E-02
    7.000E+00  3.500E+00  6.897E-02  6.750E-02 -1.731E-02  3.204E-02  7.694E-07  7.931E-03 -7.100E-02 -6.324E-02  1.031E-07 -7.153E-02
    1.000E+01  3.500E+00  7.787E-02  7.768E-02 -1.458E-02  2.895E-02  9.016E-07  8.764E-03 -5.732E-02 -8.750E-02  7.739E-08 -7.676E-02
    1.500E+01  3.500E+00  1.056E-01  1.079E-01 -9.328E-03  2.655E-02 -9.965E-08  9.650E-03 -3.902E-02 -1.492E-01 -1.508E-06 -9.781E-02
    2.000E+01  3.500E+00  1.522E-01  1.545E-01 -2.131E-03  2.585E-02 -8.493E-06  9.023E-03 -2.315E-02 -2.415E-01 -8.433E-06 -1.333E-01
    2.500E+01  3.500E+00  2.157E-01  2.149E-01  6.843E-03  2.602E-02 -3.580E-05  6.608E-03 -9.274E-03 -3.610E-01 -2.463E-05 -1.809E-01
