      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
   5.0000000E-03  1.800E+01  3.381E-05  4.657E-04  1.859E-05  3.246E-04 -1.558E-10  2.862E-05 -7.948E-04  1.204E-05 -1.076E-10 -5.676E-04
   1.0000000E-02  1.800E+01  3.024E-05  6.161E-04 -6.185E-06  4.291E-04 -2.485E-10  4.036E-05 -1.051E-03 -4.504E-06 -6.130E-11 -7.508E-04
   2.0000000E-02  1.800E+01  4.023E-05  7.720E-04 -3.559E-05  5.366E-04 -4.207E-10  5.680E-05 -1.314E-03 -2.433E-05  5.856E-11 -9.402E-04
   5.0000000E-02  1.800E+01  6.931E-05  9.115E-04 -8.626E-05  6.298E-04 -9.058E-10  8.887E-05 -1.542E-03 -5.865E-05  4.717E-10 -1.108E-03
   1.0000000E-01  1.800E+01  1.026E-04  9.100E-04 -1.367E-04  6.230E-04 -1.666E-09  1.230E-04 -1.525E-03 -9.289E-05  1.186E-09 -1.103E-03
   2.0000000E-01  1.800E+01  1.458E-04  8.177E-04 -1.994E-04  5.500E-04 -3.074E-09  1.670E-04 -1.346E-03 -1.356E-04  2.578E-09 -9.848E-04
   3.0000000E-01  1.800E+01  1.750E-04  7.398E-04 -2.412E-04  4.894E-04 -4.362E-09  1.967E-04 -1.198E-03 -1.641E-04  3.883E-09 -8.861E-04
   4.0000000E-01  1.800E+01  1.966E-04  6.814E-04 -2.721E-04  4.437E-04 -5.552E-09  2.188E-04 -1.087E-03 -1.852E-04  5.116E-09 -8.116E-04
   5.0000000E-01  1.800E+01  2.135E-04  6.365E-04 -2.962E-04  4.082E-04 -6.645E-09  2.359E-04 -1.001E-03 -2.017E-04  6.259E-09 -7.541E-04
   7.5000000E-01  1.800E+01  2.427E-04  5.596E-04 -3.378E-04  3.463E-04 -9.054E-09  2.655E-04 -8.514E-04 -2.304E-04  8.816E-09 -6.546E-04
   1.0000000E+00  1.800E+01  2.609E-04  5.106E-04 -3.638E-04  3.055E-04 -1.109E-08  2.836E-04 -7.544E-04 -2.485E-04  1.103E-08 -5.898E-04
   2.0000000E+00  1.800E+01  2.888E-04  4.183E-04 -4.039E-04  2.197E-04 -1.671E-08  3.097E-04 -5.593E-04 -2.777E-04  1.763E-08 -4.585E-04
   3.0000000E+00  1.800E+01  2.919E-04  3.854E-04 -4.087E-04  1.754E-04 -1.988E-08  3.098E-04 -4.704E-04 -2.833E-04  2.220E-08 -3.977E-04
   5.0000000E+00  1.800E+01  2.837E-04  3.768E-04 -3.971E-04  1.186E-04 -2.200E-08  2.944E-04 -3.797E-04 -2.811E-04  2.855E-08 -3.364E-04
   7.0000000E+00  1.800E+01  2.746E-04  4.015E-04 -3.831E-04  7.358E-05 -2.005E-08  2.766E-04 -3.294E-04 -2.792E-04  3.281E-08 -3.042E-04
   1.0000000E+01  1.800E+01  2.667E-04  4.707E-04 -3.675E-04  8.670E-06 -1.052E-08  2.526E-04 -2.804E-04 -2.847E-04  3.598E-08 -2.767E-04
   1.5000000E+01  1.800E+01  2.687E-04  6.366E-04 -3.550E-04 -1.032E-04  2.228E-08  2.203E-04 -2.255E-04 -3.209E-04  3.093E-08 -2.543E-04
   2.0000000E+01  1.800E+01  2.862E-04  8.462E-04 -3.529E-04 -2.239E-04  7.503E-08  1.929E-04 -1.847E-04 -3.905E-04  7.690E-09 -2.482E-04
   2.5000000E+01  1.800E+01  3.169E-04  1.085E-03 -3.559E-04 -3.475E-04  1.445E-07  1.656E-04 -1.517E-04 -4.912E-04 -4.243E-08 -2.571E-04
   3.0000000E+01  1.800E+01  3.598E-04  1.350E-03 -3.613E-04 -4.702E-04  2.261E-07  1.364E-04 -1.236E-04 -6.226E-04 -1.324E-07 -2.834E-04
   3.5000000E+01  1.800E+01  4.146E-04  1.639E-03 -3.675E-04 -5.868E-04  3.141E-07  1.050E-04 -9.850E-05 -7.853E-04 -2.819E-07 -3.315E-04
   4.0000000E+01  1.800E+01  4.811E-04  1.953E-03 -3.733E-04 -6.941E-04  4.014E-07  7.105E-05 -7.576E-05 -9.794E-04 -5.182E-07 -4.060E-04
   4.5000000E+01  1.800E+01  5.594E-04  2.295E-03 -3.780E-04 -7.892E-04  4.790E-07  3.470E-05 -5.495E-05 -1.206E-03 -8.774E-07 -5.120E-04
   5.0000000E+01  1.800E+01  6.498E-04  2.671E-03 -3.812E-04 -8.698E-04  5.357E-07 -3.523E-06 -3.580E-05 -1.466E-03 -1.404E-06 -6.557E-04
   5.5000000E+01  1.800E+01  7.524E-04  3.087E-03 -3.821E-04 -9.340E-04  5.563E-07 -4.299E-05 -1.821E-05 -1.764E-03 -2.148E-06 -8.436E-04
   6.0000000E+01  1.800E+01  8.668E-04  3.551E-03 -3.798E-04 -9.805E-04  5.200E-07 -8.300E-05 -2.197E-06 -2.100E-03 -3.169E-06 -1.084E-03
   6.5000000E+01  1.800E+01  9.891E-04  4.074E-03 -3.702E-04 -1.008E-03  3.991E-07 -1.227E-04  1.223E-05 -2.477E-03 -4.526E-06 -1.385E-03
   7.0000000E+01  1.800E+01  1.088E-03  4.669E-03 -3.232E-04 -1.015E-03  1.609E-07 -1.605E-04  2.511E-05 -2.861E-03 -6.287E-06 -1.758E-03
   7.5000000E+01  1.800E+01  1.576E-03  5.350E-03 -4.807E-04 -9.995E-04 -2.675E-07 -2.041E-04  3.650E-05 -3.596E-03 -8.481E-06 -2.216E-03
   8.0000000E+01  1.800E+01  1.622E-03  6.137E-03 -4.122E-04 -9.609E-04 -8.947E-07 -2.376E-04  4.674E-05 -4.099E-03 -1.123E-05 -2.775E-03
   8.5000000E+01  1.800E+01  1.829E-03  7.050E-03 -3.920E-04 -8.971E-04 -1.822E-06 -2.699E-04  5.551E-05 -4.766E-03 -1.455E-05 -3.452E-03
   9.0000000E+01  1.800E+01  2.083E-03  8.115E-03 -3.747E-04 -8.062E-04 -3.132E-06 -2.992E-04  6.306E-05 -5.553E-03 -1.849E-05 -4.270E-03
   1.0000000E+02  1.800E+01  2.728E-03  1.083E-02 -3.318E-04 -5.298E-04 -7.330E-06 -3.442E-04  7.569E-05 -7.562E-03 -2.836E-05 -6.441E-03
   1.0500000E+02  1.800E+01  3.133E-03  1.257E-02 -3.030E-04 -3.410E-04 -1.048E-05 -3.594E-04  8.154E-05 -8.844E-03 -3.430E-05 -7.864E-03
   1.1000000E+02  1.800E+01  3.606E-03  1.462E-02 -2.676E-04 -1.134E-04 -1.452E-05 -3.684E-04  8.814E-05 -1.036E-02 -4.091E-05 -9.570E-03
   1.1500000E+02  1.800E+01  4.160E-03  1.705E-02 -2.245E-04  1.568E-04 -1.962E-05 -3.705E-04  9.593E-05 -1.216E-02 -4.815E-05 -1.161E-02
   1.2000000E+02  1.800E+01  4.811E-03  1.994E-02 -1.725E-04  4.755E-04 -2.594E-05 -3.651E-04  1.006E-04 -1.430E-02 -5.596E-05 -1.406E-02
   1.2500000E+02  1.800E+01  5.575E-03  2.336E-02 -1.105E-04  8.422E-04 -3.364E-05 -3.516E-04  1.128E-04 -1.683E-02 -6.426E-05 -1.696E-02
   1.3000000E+02  1.800E+01  6.469E-03  2.738E-02 -3.737E-05  1.262E-03 -4.287E-05 -3.295E-04  1.285E-04 -1.982E-02 -7.292E-05 -2.039E-02
   1.3500000E+02  1.800E+01  7.508E-03  3.208E-02  4.754E-05  1.734E-03 -5.372E-05 -2.988E-04  1.486E-04 -2.332E-02 -8.178E-05 -2.441E-02
   1.4000000E+02  1.800E+01  8.701E-03  3.750E-02  1.444E-04  2.258E-03 -6.619E-05 -2.598E-04  1.741E-04 -2.737E-02 -9.062E-05 -2.906E-02
   1.4500000E+02  1.800E+01  1.005E-02  4.363E-02  2.524E-04  2.824E-03 -8.011E-05 -2.133E-04  2.065E-04 -3.196E-02 -9.919E-05 -3.431E-02
   1.5000000E+02  1.800E+01  1.151E-02  5.035E-02  3.692E-04  3.416E-03 -9.513E-05 -1.609E-04  2.468E-04 -3.699E-02 -1.072E-04 -4.006E-02
   1.5500000E+02  1.800E+01  1.305E-02  5.738E-02  4.905E-04  4.009E-03 -1.106E-04 -1.051E-04  2.957E-04 -4.228E-02 -1.141E-04 -4.608E-02
   1.6000000E+02  1.800E+01  1.454E-02  6.427E-02  6.093E-04  4.563E-03 -1.257E-04 -4.918E-05  3.526E-04 -4.747E-02 -1.196E-04 -5.196E-02
   1.7000000E+02  1.800E+01  1.684E-02  7.503E-02  8.039E-04  5.373E-03 -1.502E-04  4.884E-05  4.796E-04 -5.559E-02 -1.247E-04 -6.112E-02
   1.8000000E+02  1.800E+01  1.736E-02  7.777E-02  8.869E-04  5.530E-03 -1.611E-04  1.101E-04  5.949E-04 -5.766E-02 -1.204E-04 -6.339E-02
   1.9000000E+02  1.800E+01  1.587E-02  7.146E-02  8.436E-04  5.007E-03 -1.562E-04  1.313E-04  6.662E-04 -5.288E-02 -1.082E-04 -5.789E-02
   2.0000000E+02  1.800E+01  1.321E-02  5.978E-02  7.208E-04  4.094E-03 -1.400E-04  1.287E-04  6.842E-04 -4.403E-02 -9.189E-05 -4.781E-02
