      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
   5.0000000E-03  1.700E+01  3.502E-05  6.641E-04  1.564E-05  4.637E-04 -1.585E-10  3.474E-05 -1.135E-03  1.035E-05 -1.137E-10 -8.100E-04
   1.0000000E-02  1.700E+01  3.412E-05  8.786E-04 -1.456E-05  6.130E-04 -2.313E-10  4.910E-05 -1.501E-03 -1.058E-05 -7.695E-11 -1.071E-03
   2.0000000E-02  1.700E+01  4.861E-05  1.101E-03 -5.095E-05  7.667E-04 -3.602E-10  6.921E-05 -1.877E-03 -3.599E-05  2.451E-11 -1.341E-03
   5.0000000E-02  1.700E+01  8.656E-05  1.299E-03 -1.144E-04  9.001E-04 -7.077E-10  1.084E-04 -2.204E-03 -8.048E-05  3.811E-10 -1.580E-03
   1.0000000E-01  1.700E+01  1.291E-04  1.296E-03 -1.780E-04  8.907E-04 -1.241E-09  1.502E-04 -2.180E-03 -1.251E-04  1.003E-09 -1.572E-03
   2.0000000E-01  1.700E+01  1.840E-04  1.163E-03 -2.574E-04  7.869E-04 -2.214E-09  2.039E-04 -1.926E-03 -1.811E-04  2.222E-09 -1.403E-03
   3.0000000E-01  1.700E+01  2.210E-04  1.051E-03 -3.103E-04  7.008E-04 -3.104E-09  2.402E-04 -1.715E-03 -2.184E-04  3.373E-09 -1.262E-03
   4.0000000E-01  1.700E+01  2.485E-04  9.667E-04 -3.496E-04  6.357E-04 -3.920E-09  2.671E-04 -1.557E-03 -2.462E-04  4.450E-09 -1.155E-03
   5.0000000E-01  1.700E+01  2.699E-04  9.020E-04 -3.800E-04  5.853E-04 -4.670E-09  2.881E-04 -1.434E-03 -2.679E-04  5.465E-09 -1.073E-03
   7.5000000E-01  1.700E+01  3.070E-04  7.910E-04 -4.328E-04  4.975E-04 -6.336E-09  3.241E-04 -1.221E-03 -3.056E-04  7.749E-09 -9.304E-04
   1.0000000E+00  1.700E+01  3.301E-04  7.201E-04 -4.657E-04  4.398E-04 -7.747E-09  3.463E-04 -1.083E-03 -3.294E-04  9.741E-09 -8.377E-04
   2.0000000E+00  1.700E+01  3.657E-04  5.853E-04 -5.162E-04  3.192E-04 -1.167E-08  3.780E-04 -8.054E-04 -3.682E-04  1.582E-08 -6.503E-04
   3.0000000E+00  1.700E+01  3.699E-04  5.353E-04 -5.219E-04  2.580E-04 -1.383E-08  3.781E-04 -6.785E-04 -3.760E-04  2.020E-08 -5.642E-04
   5.0000000E+00  1.700E+01  3.601E-04  5.157E-04 -5.066E-04  1.823E-04 -1.471E-08  3.590E-04 -5.489E-04 -3.744E-04  2.668E-08 -4.789E-04
   7.0000000E+00  1.700E+01  3.492E-04  5.420E-04 -4.881E-04  1.246E-04 -1.174E-08  3.372E-04 -4.768E-04 -3.736E-04  3.134E-08 -4.356E-04
   1.0000000E+01  1.700E+01  3.402E-04  6.246E-04 -4.676E-04  4.398E-05 -2.642E-10  3.077E-04 -4.067E-04 -3.837E-04  3.520E-08 -4.009E-04
   1.5000000E+01  1.700E+01  3.449E-04  8.286E-04 -4.508E-04 -9.153E-05  3.792E-08  2.681E-04 -3.280E-04 -4.371E-04  3.010E-08 -3.783E-04
   2.0000000E+01  1.700E+01  3.699E-04  1.089E-03 -4.468E-04 -2.356E-04  9.898E-08  2.342E-04 -2.692E-04 -5.351E-04  3.517E-09 -3.804E-04
   2.5000000E+01  1.700E+01  4.125E-04  1.389E-03 -4.493E-04 -3.818E-04  1.791E-07  2.003E-04 -2.211E-04 -6.747E-04 -5.626E-08 -4.045E-04
   3.0000000E+01  1.700E+01  4.715E-04  1.722E-03 -4.545E-04 -5.255E-04  2.725E-07  1.640E-04 -1.797E-04 -8.555E-04 -1.671E-07 -4.536E-04
   3.5000000E+01  1.700E+01  5.468E-04  2.089E-03 -4.604E-04 -6.605E-04  3.716E-07  1.249E-04 -1.422E-04 -1.078E-03 -3.557E-07 -5.334E-04
   4.0000000E+01  1.700E+01  6.382E-04  2.492E-03 -4.654E-04 -7.827E-04  4.662E-07  8.249E-05 -1.080E-04 -1.344E-03 -6.591E-07 -6.503E-04
   4.5000000E+01  1.700E+01  7.463E-04  2.935E-03 -4.688E-04 -8.885E-04  5.435E-07  3.725E-05 -7.624E-05 -1.654E-03 -1.125E-06 -8.116E-04
   5.0000000E+01  1.700E+01  8.715E-04  3.426E-03 -4.699E-04 -9.749E-04  5.861E-07 -1.013E-05 -4.675E-05 -2.013E-03 -1.814E-06 -1.026E-03
   5.5000000E+01  1.700E+01  1.014E-03  3.976E-03 -4.679E-04 -1.040E-03  5.708E-07 -5.878E-05 -1.939E-05 -2.423E-03 -2.792E-06 -1.303E-03
   6.0000000E+01  1.700E+01  1.175E-03  4.595E-03 -4.616E-04 -1.081E-03  4.657E-07 -1.077E-04  5.823E-06 -2.891E-03 -4.133E-06 -1.654E-03
   6.5000000E+01  1.700E+01  1.348E-03  5.301E-03 -4.468E-04 -1.096E-03  2.277E-07 -1.559E-04  2.884E-05 -3.421E-03 -5.917E-06 -2.093E-03
   7.0000000E+01  1.700E+01  1.492E-03  6.113E-03 -3.910E-04 -1.083E-03 -1.955E-07 -2.016E-04  4.968E-05 -3.976E-03 -8.229E-06 -2.635E-03
   7.5000000E+01  1.700E+01  2.134E-03  7.052E-03 -5.530E-04 -1.041E-03 -8.984E-07 -2.495E-04  6.844E-05 -4.967E-03 -1.111E-05 -3.302E-03
   8.0000000E+01  1.700E+01  2.236E-03  8.147E-03 -4.716E-04 -9.671E-04 -1.925E-06 -2.887E-04  8.533E-05 -5.710E-03 -1.470E-05 -4.115E-03
   8.5000000E+01  1.700E+01  2.541E-03  9.432E-03 -4.406E-04 -8.583E-04 -3.409E-06 -3.241E-04  1.004E-04 -6.681E-03 -1.902E-05 -5.104E-03
   9.0000000E+01  1.700E+01  2.916E-03  1.094E-02 -4.112E-04 -7.118E-04 -5.478E-06 -3.545E-04  1.138E-04 -7.834E-03 -2.412E-05 -6.303E-03
   1.0000000E+02  1.700E+01  3.880E-03  1.486E-02 -3.372E-04 -2.878E-04 -1.201E-05 -3.939E-04  1.372E-04 -1.082E-02 -3.677E-05 -9.504E-03
   1.0500000E+02  1.700E+01  4.493E-03  1.739E-02 -2.886E-04 -5.252E-06 -1.685E-05 -4.021E-04  1.486E-04 -1.275E-02 -4.431E-05 -1.161E-02
   1.1000000E+02  1.700E+01  5.215E-03  2.040E-02 -2.302E-04  3.309E-04 -2.301E-05 -4.010E-04  1.613E-04 -1.506E-02 -5.263E-05 -1.415E-02
   1.1500000E+02  1.700E+01  6.066E-03  2.399E-02 -1.604E-04  7.252E-04 -3.070E-05 -3.898E-04  1.762E-04 -1.780E-02 -6.164E-05 -1.720E-02
   1.2000000E+02  1.700E+01  7.068E-03  2.825E-02 -7.789E-05  1.184E-03 -4.011E-05 -3.678E-04  1.880E-04 -2.106E-02 -7.124E-05 -2.083E-02
   1.2500000E+02  1.700E+01  8.241E-03  3.326E-02  1.854E-05  1.704E-03 -5.139E-05 -3.347E-04  2.104E-04 -2.491E-02 -8.125E-05 -2.512E-02
   1.3000000E+02  1.700E+01  9.601E-03  3.911E-02  1.294E-04  2.286E-03 -6.462E-05 -2.908E-04  2.387E-04 -2.941E-02 -9.145E-05 -3.013E-02
   1.3500000E+02  1.700E+01  1.115E-02  4.579E-02  2.542E-04  2.923E-03 -7.970E-05 -2.370E-04  2.739E-04 -3.457E-02 -1.015E-04 -3.586E-02
   1.4000000E+02  1.700E+01  1.287E-02  5.322E-02  3.908E-04  3.598E-03 -9.632E-05 -1.753E-04  3.175E-04 -4.032E-02 -1.111E-04 -4.223E-02
   1.4500000E+02  1.700E+01  1.468E-02  6.113E-02  5.343E-04  4.284E-03 -1.138E-04 -1.088E-04  3.703E-04 -4.645E-02 -1.198E-04 -4.900E-02
   1.5000000E+02  1.700E+01  1.649E-02  6.903E-02  6.772E-04  4.937E-03 -1.313E-04 -4.147E-05  4.326E-04 -5.258E-02 -1.269E-04 -5.575E-02
   1.5500000E+02  1.700E+01  1.812E-02  7.620E-02  8.087E-04  5.503E-03 -1.474E-04  2.174E-05  5.029E-04 -5.816E-02 -1.320E-04 -6.187E-02
   1.6000000E+02  1.700E+01  1.938E-02  8.180E-02  9.166E-04  5.923E-03 -1.608E-04  7.619E-05  5.775E-04 -6.253E-02 -1.346E-04 -6.664E-02
   1.7000000E+02  1.700E+01  2.014E-02  8.553E-02  1.024E-03  6.155E-03 -1.748E-04  1.461E-04  7.166E-04 -6.544E-02 -1.314E-04 -6.975E-02
   1.8000000E+02  1.700E+01  1.841E-02  7.861E-02  9.743E-04  5.578E-03 -1.702E-04  1.634E-04  8.044E-04 -6.003E-02 -1.184E-04 -6.371E-02
   1.9000000E+02  1.700E+01  1.522E-02  6.536E-02  8.270E-04  4.538E-03 -1.521E-04  1.503E-04  8.228E-04 -4.966E-02 -1.003E-04 -5.227E-02
   2.0000000E+02  1.700E+01  1.187E-02  5.130E-02  6.568E-04  3.435E-03 -1.285E-04  1.325E-04  7.869E-04 -3.864E-02 -8.164E-05 -4.013E-02
