      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
   5.0000000E-03  1.300E+01  4.641E-05  2.666E-03 -2.845E-05  1.870E-03 -7.095E-11  7.878E-05 -4.579E-03 -2.384E-05 -1.586E-10 -3.256E-03
   1.0000000E-02  1.300E+01  7.647E-05  3.526E-03 -9.997E-05  2.472E-03  4.759E-11  1.120E-04 -6.053E-03 -8.135E-05 -1.979E-10 -4.306E-03
   2.0000000E-02  1.300E+01  1.351E-04  4.416E-03 -1.909E-04  3.092E-03  3.194E-10  1.583E-04 -7.572E-03 -1.545E-04 -2.533E-10 -5.391E-03
   5.0000000E-02  1.300E+01  2.559E-04  5.205E-03 -3.559E-04  3.633E-03  1.195E-09  2.490E-04 -8.894E-03 -2.882E-04 -3.716E-10 -6.348E-03
   1.0000000E-01  1.300E+01  3.843E-04  5.183E-03 -5.253E-04  3.598E-03  2.657E-09  3.452E-04 -8.809E-03 -4.253E-04 -5.153E-10 -6.309E-03
   2.0000000E-01  1.300E+01  5.477E-04  4.635E-03 -7.394E-04  3.185E-03  5.433E-09  4.689E-04 -7.796E-03 -5.991E-04 -7.308E-10 -5.623E-03
   3.0000000E-01  1.300E+01  6.574E-04  4.175E-03 -8.828E-04  2.842E-03  8.015E-09  5.523E-04 -6.955E-03 -7.160E-04 -9.081E-10 -5.048E-03
   4.0000000E-01  1.300E+01  7.389E-04  3.829E-03 -9.890E-04  2.583E-03  1.039E-08  6.142E-04 -6.321E-03 -8.032E-04 -1.020E-09 -4.615E-03
   5.0000000E-01  1.300E+01  8.025E-04  3.563E-03 -1.072E-03  2.383E-03  1.259E-08  6.623E-04 -5.832E-03 -8.713E-04 -1.112E-09 -4.281E-03
   7.5000000E-01  1.300E+01  9.130E-04  3.104E-03 -1.214E-03  2.035E-03  1.738E-08  7.450E-04 -4.983E-03 -9.907E-04 -1.201E-09 -3.703E-03
   1.0000000E+00  1.300E+01  9.821E-04  2.810E-03 -1.303E-03  1.807E-03  2.138E-08  7.956E-04 -4.432E-03 -1.067E-03 -1.126E-09 -3.329E-03
   2.0000000E+00  1.300E+01  1.091E-03  2.239E-03 -1.436E-03  1.341E-03  3.209E-08  8.672E-04 -3.320E-03 -1.194E-03  3.805E-10 -2.576E-03
   3.0000000E+00  1.300E+01  1.107E-03  2.010E-03 -1.446E-03  1.116E-03  3.845E-08  8.665E-04 -2.810E-03 -1.226E-03  3.152E-09 -2.238E-03
   5.0000000E+00  1.300E+01  1.087E-03  1.864E-03 -1.397E-03  8.639E-04  4.759E-08  8.215E-04 -2.286E-03 -1.241E-03  1.039E-08 -1.918E-03
   7.0000000E+00  1.300E+01  1.064E-03  1.889E-03 -1.340E-03  6.968E-04  5.827E-08  7.710E-04 -1.994E-03 -1.263E-03  1.802E-08 -1.774E-03
   1.0000000E+01  1.300E+01  1.052E-03  2.073E-03 -1.275E-03  4.923E-04  8.362E-08  7.037E-04 -1.707E-03 -1.342E-03  2.667E-08 -1.688E-03
