      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
   5.0000000E-03  2.800E+01  3.159E-05  6.395E-06  2.121E-05  3.941E-06  4.920E-11  5.831E-06 -9.669E-06  8.448E-06 -5.288E-11 -7.497E-06
   1.0000000E-02  2.800E+01  2.186E-05  8.563E-06  1.506E-05  5.221E-06 -4.610E-11  8.132E-06 -1.264E-05  6.159E-06  4.674E-11 -1.001E-05
   2.0000000E-02  2.800E+01  1.924E-05  1.086E-05  9.256E-06  6.475E-06 -2.635E-10  1.152E-05 -1.569E-05  3.737E-06  2.747E-10 -1.260E-05
   5.0000000E-02  2.800E+01  2.225E-05  1.321E-05  1.174E-06  7.452E-06 -9.566E-10  1.792E-05 -1.800E-05  1.225E-07  1.001E-09 -1.508E-05
   1.0000000E-01  2.800E+01  2.822E-05  1.382E-05 -5.794E-06  7.128E-06 -2.117E-09  2.478E-05 -1.714E-05 -3.067E-06  2.218E-09 -1.537E-05
   2.0000000E-01  2.800E+01  3.690E-05  1.348E-05 -1.381E-05  5.864E-06 -4.335E-09  3.363E-05 -1.403E-05 -6.766E-06  4.547E-09 -1.432E-05
   3.0000000E-01  2.800E+01  4.298E-05  1.310E-05 -1.894E-05  4.834E-06 -6.394E-09  3.962E-05 -1.157E-05 -9.138E-06  6.714E-09 -1.335E-05
   4.0000000E-01  2.800E+01  4.755E-05  1.284E-05 -2.270E-05  4.028E-06 -8.300E-09  4.408E-05 -9.723E-06 -1.087E-05  8.720E-09 -1.260E-05
   5.0000000E-01  2.800E+01  5.113E-05  1.267E-05 -2.561E-05  3.375E-06 -1.007E-08  4.755E-05 -8.284E-06 -1.220E-05  1.059E-08 -1.201E-05
   7.5000000E-01  2.800E+01  5.733E-05  1.253E-05 -3.067E-05  2.127E-06 -1.396E-08  5.358E-05 -5.769E-06 -1.448E-05  1.471E-08 -1.093E-05
   1.0000000E+00  2.800E+01  6.116E-05  1.259E-05 -3.387E-05  1.175E-06 -1.724E-08  5.733E-05 -4.130E-06 -1.589E-05  1.820E-08 -1.015E-05
   2.0000000E+00  2.800E+01  6.673E-05  1.383E-05 -3.925E-05 -1.714E-06 -2.632E-08  6.300E-05 -8.923E-07 -1.792E-05  2.803E-08 -7.998E-06
   3.0000000E+00  2.800E+01  6.693E-05  1.600E-05 -4.046E-05 -4.359E-06 -3.165E-08  6.353E-05  4.974E-07 -1.790E-05  3.409E-08 -6.280E-06
   5.0000000E+00  2.800E+01  6.421E-05  2.228E-05 -4.022E-05 -1.019E-05 -3.708E-08  6.151E-05  1.845E-06 -1.641E-05  4.109E-08 -3.045E-06
   7.0000000E+00  2.800E+01  6.125E-05  3.060E-05 -3.948E-05 -1.701E-05 -3.896E-08  5.915E-05  2.560E-06 -1.457E-05  4.480E-08  3.091E-07
   1.0000000E+01  2.800E+01  5.789E-05  4.608E-05 -3.882E-05 -2.921E-05 -3.814E-08  5.627E-05  3.249E-06 -1.181E-05  4.726E-08  5.621E-06
   1.5000000E+01  2.800E+01  5.487E-05  7.790E-05 -3.908E-05 -5.306E-05 -3.040E-08  5.353E-05  3.930E-06 -8.750E-06  4.608E-08  1.557E-05
   2.0000000E+01  2.800E+01  5.412E-05  1.158E-04 -4.051E-05 -8.062E-05 -1.647E-08  5.229E-05  4.162E-06 -8.040E-06  3.947E-08  2.641E-05
   2.5000000E+01  2.800E+01  5.492E-05  1.573E-04 -4.269E-05 -1.099E-04  2.598E-09  5.147E-05  3.970E-06 -9.855E-06  2.759E-08  3.730E-05
   3.0000000E+01  2.800E+01  5.693E-05  2.017E-04 -4.536E-05 -1.402E-04  2.601E-08  5.062E-05  3.306E-06 -1.439E-05  9.976E-09  4.774E-05
