      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
   5.0000000E-03  2.400E+01  2.529E-05  4.259E-05  1.788E-05  2.879E-05 -7.915E-11  9.785E-06 -7.062E-05  9.678E-06 -8.158E-11 -5.140E-05
   1.0000000E-02  2.400E+01  1.822E-05  5.642E-05  9.308E-06  3.803E-05 -1.900E-10  1.347E-05 -9.329E-05  5.223E-06 -1.964E-11 -6.802E-05
   2.0000000E-02  2.400E+01  1.805E-05  7.089E-05  1.492E-07  4.749E-05 -4.162E-10  1.869E-05 -1.165E-04  2.957E-07  1.303E-10 -8.530E-05
   5.0000000E-02  2.400E+01  2.474E-05  8.431E-05 -1.434E-05  5.549E-05 -1.097E-09  2.880E-05 -1.363E-04 -7.559E-06  6.279E-10 -1.009E-04
   1.0000000E-01  2.400E+01  3.402E-05  8.520E-05 -2.798E-05  5.448E-05 -2.200E-09  3.970E-05 -1.340E-04 -1.501E-05  1.473E-09 -1.010E-04
   2.0000000E-01  2.400E+01  4.665E-05  7.828E-05 -4.452E-05  4.739E-05 -4.277E-09  5.375E-05 -1.170E-04 -2.404E-05  3.102E-09 -9.116E-05
   3.0000000E-01  2.400E+01  5.530E-05  7.228E-05 -5.539E-05  4.155E-05 -6.189E-09  6.325E-05 -1.031E-04 -2.997E-05  4.621E-09 -8.279E-05
   4.0000000E-01  2.400E+01  6.176E-05  6.782E-05 -6.340E-05  3.711E-05 -7.953E-09  7.032E-05 -9.258E-05 -3.435E-05  6.032E-09 -7.647E-05
   5.0000000E-01  2.400E+01  6.680E-05  6.445E-05 -6.963E-05  3.363E-05 -9.584E-09  7.582E-05 -8.448E-05 -3.774E-05  7.346E-09 -7.158E-05
   7.5000000E-01  2.400E+01  7.554E-05  5.889E-05 -8.043E-05  2.744E-05 -1.317E-08  8.531E-05 -7.043E-05 -4.361E-05  1.026E-08 -6.307E-05
   1.0000000E+00  2.400E+01  8.095E-05  5.558E-05 -8.721E-05  2.321E-05 -1.617E-08  9.116E-05 -6.135E-05 -4.728E-05  1.273E-08 -5.747E-05
   2.0000000E+00  2.400E+01  8.903E-05  5.097E-05 -9.799E-05  1.326E-05 -2.444E-08  9.967E-05 -4.329E-05 -5.297E-05  1.976E-08 -4.552E-05
   3.0000000E+00  2.400E+01  8.964E-05  5.178E-05 -9.973E-05  6.724E-06 -2.920E-08  9.989E-05 -3.529E-05 -5.367E-05  2.416E-08 -3.923E-05
   5.0000000E+00  2.400E+01  8.653E-05  6.009E-05 -9.763E-05 -4.708E-06 -3.363E-08  9.525E-05 -2.731E-05 -5.203E-05  2.936E-08 -3.128E-05
   7.0000000E+00  2.400E+01  8.311E-05  7.351E-05 -9.474E-05 -1.662E-05 -3.436E-08  8.984E-05 -2.293E-05 -5.015E-05  3.211E-08 -2.527E-05
   1.0000000E+01  2.400E+01  7.959E-05  9.999E-05 -9.169E-05 -3.695E-05 -3.114E-08  8.246E-05 -1.867E-05 -4.846E-05  3.350E-08 -1.737E-05
   1.5000000E+01  2.400E+01  7.786E-05  1.559E-04 -8.995E-05 -7.594E-05 -1.701E-08  7.267E-05 -1.390E-05 -5.091E-05  2.978E-08 -4.464E-06
   2.0000000E+01  2.400E+01  8.009E-05  2.232E-04 -9.084E-05 -1.207E-04  6.382E-09  6.458E-05 -1.068E-05 -6.016E-05  1.800E-08  8.447E-06
   2.5000000E+01  2.400E+01  8.542E-05  2.976E-04 -9.319E-05 -1.680E-04  3.750E-08  5.659E-05 -8.585E-06 -7.598E-05 -3.425E-09  2.035E-05
   3.0000000E+01  2.400E+01  9.344E-05  3.777E-04 -9.633E-05 -2.167E-04  7.474E-08  4.814E-05 -7.490E-06 -9.838E-05 -3.688E-08  3.033E-05
