      E_np       q_cm^2      F_L        F_T      F_L20      F_T20      F_LT1M1    F_LT2M1    F_TT2M2    F_'LT1M1   F_'LT2M1   F_'T10 
     [MeV]      [fm^-2]     [fm]       [fm]      [fm]       [fm]        [fm]        [fm]     [fm]        [fm]       [fm]      [fm]
    5.000E-03  1.500E+00  1.968E-02  2.269E-01 -2.926E-03  1.601E-01  1.939E-09  6.308E-04 -3.921E-01 -7.473E-03  1.497E-10 -2.777E-01
    1.000E-02  1.500E+00  2.841E-02  3.000E-01 -4.192E-03  2.117E-01  4.019E-09  8.949E-04 -5.184E-01 -1.067E-02  2.981E-10 -3.672E-01
    2.000E-02  1.500E+00  4.055E-02  3.756E-01 -5.951E-03  2.649E-01  7.876E-09  1.264E-03 -6.487E-01 -1.514E-02  6.280E-10 -4.596E-01
    5.000E-02  1.500E+00  6.398E-02  4.420E-01 -9.329E-03  3.114E-01  1.999E-08  1.986E-03 -7.627E-01 -2.392E-02  1.471E-09 -5.406E-01
    1.000E-01  1.500E+00  8.903E-02  4.390E-01 -1.289E-02  3.088E-01  3.947E-08  2.756E-03 -7.563E-01 -3.338E-02  3.156E-09 -5.367E-01
    2.000E-01  1.500E+00  1.214E-01  3.908E-01 -1.735E-02  2.740E-01  7.425E-08  3.756E-03 -6.709E-01 -4.593E-02  5.682E-09 -4.773E-01
    3.000E-01  1.500E+00  1.434E-01  3.507E-01 -2.024E-02  2.450E-01  1.079E-07  4.444E-03 -5.997E-01 -5.483E-02  8.959E-09 -4.277E-01
    4.000E-01  1.500E+00  1.599E-01  3.205E-01 -2.230E-02  2.231E-01  1.395E-07  4.970E-03 -5.459E-01 -6.184E-02  1.151E-08 -3.904E-01
    5.000E-01  1.500E+00  1.729E-01  2.974E-01 -2.381E-02  2.062E-01  1.675E-07  5.395E-03 -5.043E-01 -6.769E-02  1.465E-08 -3.617E-01
    7.500E-01  1.500E+00  1.960E-01  2.578E-01 -2.615E-02  1.768E-01  2.295E-07  6.195E-03 -4.318E-01 -7.930E-02  2.040E-08 -3.123E-01
